16S rRNA gene: Mean AAs (g soil)-1															
Spike level	Spike copy (Cs)	Log 10													
			Cm							Standard deviation (SD)					
			HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30		HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30
Level 1	693.8271605	2.841251297	130191172.7	46853680.43	265435812	94725710.62	64463606.38	166307521	Level 1	51300187.53	7044725.017	114250501.8	40438753.16	28888648.98	61621530.6
Level 2	6938.271605	3.841251297	868752367.6	2072363372	1676142792	1729759238	917816371.8	1063364985	Level 2	166103419	317406145.6	317102276.4	202827147.3	261990781.2	547444591
Level 3	69382.71605	4.841251297	7040566618	21474918557	15995656955	6840333603	7858805278	14431204596	Level 3	1203727100	5142393332	3501649869	1944481430	2261477950	5429162246
Level 4	693827.1605	5.841251297	20537989586	30883455639	36852499737	11155537792	20439016517	26887817935	Level 4	1575364417	2014978940	4755735326	1089286728	3192711616	2820784189
Level 5	2081481.481	6.318372551	50916931878	75560724072	1.01E+11	26601701452	51990746079	62433535720	Level 5	10993228939	6960412362	7317452547	3218460050	8352902150	6678979769
Level 6	6244444.444	6.795493806	78672637828	90069413801	1.22E+11	45673900157	69648421561	81642329258	Level 6	9570522079	4979803594	15855156772	5115807749	13336754839	15506146638
Level 7	56200000	7.749736316	55261214251	61157296908	82668369141	28911105862	60032182946	68987654599	Level 7	4050445372	1636003071	5851214728	4058168578	4082752228	3879686743
Level 8	281000000	8.44870632	38167067263	44703700183	64671350227	25667592064	48280632736	46826323890	Level 8	3524607646	1772256265	5956780276	1663727457	2487270922	2755395318
Linear relationship			37005800298	43464172747	65053656099	25333599844	50589580195	45469075014	Linear relationship	3339381598	1679584448	8060968467	1703310942	8519083310	2684077788
q-PCR			16098275671	12426150052	14918796313	1977785821	7631092000	9828325331	q-PCR	1043195720	783041745.7	1139165150	80133987.52	364566616.1	347559174.9
															
															
ITS gene: Mean AAs (g soil)-1															
Spike level	Spike copy (Cs)	Log 10													
			Cm							Standard deviation (SD)					
			HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30	SD	HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30
Level 1	4.91E+01	1.69E+00	3.22E+06	7.83E+06	6.86E+06	2.04E+06	1.12E+07	2.62E+07	Level 1	1.14E+06	4.33E+06	2.58E+06	8.92E+05	4.77E+06	1.77E+07
Level 2	4.91E+02	2.69E+00	3.07E+07	6.02E+07	7.72E+07	2.60E+07	6.59E+07	2.57E+08	Level 2	8.61E+06	1.53E+07	1.42E+07	1.26E+07	2.83E+07	9.78E+07
Level 3	4.91E+03	3.69E+00	2.18E+08	2.55E+08	2.65E+08	7.90E+07	3.01E+08	9.00E+08	Level 3	3.03E+07	7.58E+07	3.83E+07	2.18E+07	8.64E+07	1.42E+08
Level 4	4.91E+04	4.69E+00	2.24E+08	2.58E+08	2.89E+08	9.72E+07	5.18E+08	9.77E+08	Level 4	3.18E+07	4.08E+07	2.58E+07	1.45E+07	1.47E+08	1.17E+08
Level 5	1.47E+05	5.17E+00	1.88E+08	2.51E+08	2.34E+08	8.44E+07	5.36E+08	9.44E+08	Level 5	3.39E+07	3.83E+07	1.53E+07	7.73E+06	3.63E+07	1.38E+08
Level 6	4.42E+05	5.65E+00	1.79E+08	2.71E+08	3.40E+08	8.11E+07	5.45E+08	8.45E+08	Level 6	1.65E+07	2.32E+07	3.91E+07	9.91E+06	5.55E+07	7.57E+07
Level 7	1.33E+06	6.12E+00	3.63E+08	5.38E+08	6.85E+08	1.18E+08	9.70E+08	1.47E+09	Level 7	9.16E+07	1.42E+08	5.09E+07	4.27E+07	1.23E+08	1.37E+08
Level 8	3.98E+06	6.60E+00	9.18E+08	1.17E+09	1.26E+09	2.34E+08	1.63E+09	4.02E+09	Level 8	1.59E+08	1.54E+08	2.53E+08	2.84E+07	2.82E+08	3.43E+08
Level 9	1.99E+07	7.30E+00	1.64E+09	1.74E+09	1.90E+09	3.21E+08	2.96E+09	4.77E+09	Level 9	1.64E+08	3.11E+08	4.23E+08	3.25E+07	2.95E+08	6.83E+08
Linear relationship			1.76E+08	2.76E+08	3.66E+08	7.96E+07	5.52E+08	8.29E+08	Linear relationship	2.08E+07	2.72E+07	5.05E+07	1.07E+07	6.17E+07	8.97E+07
q-PCR			2.65E+08	3.05E+08	3.96E+08	3.03E+07	8.26E+08	2.02E+09	q-PCR	4.75E+07	3.70E+07	6.08E+07	3.49E+06	7.18E+07	9.41E+07
