qPCR			
Sample	Replicates	Gene copies	Experiment
HLPDay0	HLPD0_1	1.56E+10	Experiment 1
HLPDay0	HLPD0_2	1.63E+10	Experiment 1
HLPDay0	HLPD0_3	1.57E+10	Experiment 1
HLPDay0	HLPD0_4	1.54E+10	Experiment 1
HLPDay0	HLPD0_5	1.44E+10	Experiment 1
HLPDay0	HLPD0_6	1.74E+10	Experiment 1
HLPDay7	HLPD7_1	1.21E+10	Experiment 1
HLPDay7	HLPD7_2	1.25E+10	Experiment 1
HLPDay7	HLPD7_3	1.33E+10	Experiment 1
HLPDay7	HLPD7_4	1.27E+10	Experiment 1
HLPDay7	HLPD7_5	1.25E+10	Experiment 1
HLPDay7	HLPD7_6	1.37E+10	Experiment 1
HLPDay30	HLPD30_1	1.38E+10	Experiment 1
HLPDay30	HLPD30_2	1.46E+10	Experiment 1
HLPDay30	HLPD30_3	1.60E+10	Experiment 1
HLPDay30	HLPD30_4	1.67E+10	Experiment 1
HLPDay30	HLPD30_5	1.71E+10	Experiment 1
HLPDay30	HLPD30_6	1.80E+10	Experiment 1
SYUDay0	SYUD0_1	1.53E+09	Experiment 1
SYUDay0	SYUD0_2	1.45E+09	Experiment 1
SYUDay0	SYUD0_3	1.48E+09	Experiment 1
SYUDay0	SYUD0_4	1.47E+09	Experiment 1
SYUDay0	SYUD0_5	1.30E+09	Experiment 1
SYUDay0	SYUD0_6	1.36E+09	Experiment 1
SYUDay7	SYUD7_1	6.80E+09	Experiment 1
SYUDay7	SYUD7_2	7.10E+09	Experiment 1
SYUDay7	SYUD7_3	7.44E+09	Experiment 1
SYUDay7	SYUD7_4	7.90E+09	Experiment 1
SYUDay7	SYUD7_5	7.46E+09	Experiment 1
SYUDay7	SYUD7_6	7.52E+09	Experiment 1
SYUDay30	SYUD30_1	9.30E+09	Experiment 1
SYUDay30	SYUD30_2	1.02E+10	Experiment 1
SYUDay30	SYUD30_3	1.00E+10	Experiment 1
SYUDay30	SYUD30_4	9.18E+09	Experiment 1
SYUDay30	SYUD30_5	9.90E+09	Experiment 1
SYUDay30	SYUD30_6	9.94E+09	Experiment 1
HLPDay0	HLPD0_1	1.48E+10	Experiment 2
HLPDay0	HLPD0_2	1.74E+10	Experiment 2
HLPDay0	HLPD0_3	1.71E+10	Experiment 2
HLPDay7	HLPD7_1	1.06E+10	Experiment 2
HLPDay7	HLPD7_2	1.25E+10	Experiment 2
HLPDay7	HLPD7_3	1.31E+10	Experiment 2
HLPDay30	HLPD30_1	1.26E+10	Experiment 2
HLPDay30	HLPD30_2	1.43E+10	Experiment 2
HLPDay30	HLPD30_3	1.44E+10	Experiment 2
SYUDay0	SYUD0_1	2.58E+09	Experiment 2
SYUDay0	SYUD0_2	2.58E+09	Experiment 2
SYUDay0	SYUD0_3	2.44E+09	Experiment 2
SYUDay0	SYUD0_4	2.64E+09	Experiment 2
SYUDay0	SYUD0_5	2.48E+09	Experiment 2
SYUDay0	SYUD0_6	2.40E+09	Experiment 2
SYUDay7	SYUD7_1	8.56E+09	Experiment 2
SYUDay7	SYUD7_2	7.60E+09	Experiment 2
SYUDay7	SYUD7_3	7.42E+09	Experiment 2
SYUDay7	SYUD7_4	7.52E+09	Experiment 2
SYUDay7	SYUD7_5	8.30E+09	Experiment 2
SYUDay7	SYUD7_6	7.74E+09	Experiment 2
SYUDay7	SYUD7_7	8.20E+09	Experiment 2
SYUDay7	SYUD7_8	7.80E+09	Experiment 2
SYUDay30	SYUD30_1	9.72E+09	Experiment 2
SYUDay30	SYUD30_2	9.68E+09	Experiment 2
SYUDay30	SYUD30_3	9.58E+09	Experiment 2
SYUDay30	SYUD30_4	1.00E+10	Experiment 2
SYUDay30	SYUD30_5	9.66E+09	Experiment 2
SYUDay30	SYUD30_6	9.82E+09	Experiment 2
SYUDay30	SYUD30_7	1.01E+10	Experiment 2
SYUDay30	SYUD30_8	1.06E+10	Experiment 2
