qPCR			
Sample	Replicates	Gene copies	Experiment
HLPDay0	HLPD0_1	2.06E+08	Experiment 1
HLPDay0	HLPD0_2	2.47E+08	Experiment 1
HLPDay0	HLPD0_3	2.50E+08	Experiment 1
HLPDay0	HLPD0_4	2.69E+08	Experiment 1
HLPDay0	HLPD0_5	2.94E+08	Experiment 1
HLPDay0	HLPD0_6	2.96E+08	Experiment 1
HLPDay0	HLPD0_7	3.43E+08	Experiment 1
HLPDay0	HLPD0_8	3.48E+08	Experiment 1
HLPDay7	HLPD7_1	2.37E+08	Experiment 1
HLPDay7	HLPD7_2	2.40E+08	Experiment 1
HLPDay7	HLPD7_3	2.69E+08	Experiment 1
HLPDay7	HLPD7_4	2.73E+08	Experiment 1
HLPDay7	HLPD7_5	3.02E+08	Experiment 1
HLPDay7	HLPD7_6	3.04E+08	Experiment 1
HLPDay7	HLPD7_7	3.08E+08	Experiment 1
HLPDay30	HLPD30_1	3.60E+08	Experiment 1
HLPDay30	HLPD30_2	3.66E+08	Experiment 1
HLPDay30	HLPD30_3	4.02E+08	Experiment 1
HLPDay30	HLPD30_4	4.15E+08	Experiment 1
HLPDay30	HLPD30_5	4.40E+08	Experiment 1
HLPDay30	HLPD30_6	4.68E+08	Experiment 1
HLPDay30	HLPD30_7	5.64E+08	Experiment 1
SYUDay0	SYUD0_1	2.83E+07	Experiment 1
SYUDay0	SYUD0_2	2.92E+07	Experiment 1
SYUDay0	SYUD0_3	3.49E+07	Experiment 1
SYUDay0	SYUD0_4	3.69E+07	Experiment 1
SYUDay0	SYUD0_5	3.84E+07	Experiment 1
SYUDay0	SYUD0_6	4.23E+07	Experiment 1
SYUDay7	SYUD7_1	8.15E+08	Experiment 1
SYUDay7	SYUD7_2	8.49E+08	Experiment 1
SYUDay7	SYUD7_3	7.72E+08	Experiment 1
SYUDay7	SYUD7_4	6.86E+08	Experiment 1
SYUDay7	SYUD7_5	8.20E+08	Experiment 1
SYUDay7	SYUD7_6	7.76E+08	Experiment 1
SYUDay7	SYUD7_7	7.38E+08	Experiment 1
SYUDay7	SYUD7_8	7.79E+08	Experiment 1
SYUDay30	SYUD30_1	2.00E+09	Experiment 1
SYUDay30	SYUD30_2	1.80E+09	Experiment 1
SYUDay30	SYUD30_3	1.77E+09	Experiment 1
SYUDay30	SYUD30_4	1.85E+09	Experiment 1
SYUDay30	SYUD30_5	2.04E+09	Experiment 1
SYUDay30	SYUD30_6	2.04E+09	Experiment 1
SYUDay30	SYUD30_7	1.87E+09	Experiment 1
SYUDay30	SYUD30_8	1.80E+09	Experiment 1
HLPDay0	HLPD0_1	1.98E+08	Experiment 2
HLPDay0	HLPD0_2	2.03E+08	Experiment 2
HLPDay0	HLPD0_3	2.28E+08	Experiment 2
HLPDay0	HLPD0_4	2.43E+08	Experiment 2
HLPDay0	HLPD0_5	2.81E+08	Experiment 2
HLPDay0	HLPD0_6	3.40E+08	Experiment 2
HLPDay7	HLPD7_1	2.89E+08	Experiment 2
HLPDay7	HLPD7_2	2.94E+08	Experiment 2
HLPDay7	HLPD7_3	2.95E+08	Experiment 2
HLPDay7	HLPD7_4	3.38E+08	Experiment 2
HLPDay7	HLPD7_5	3.71E+08	Experiment 2
HLPDay7	HLPD7_6	4.14E+08	Experiment 2
HLPDay30	HLPD30_1	3.33E+08	Experiment 2
HLPDay30	HLPD30_2	3.38E+08	Experiment 2
HLPDay30	HLPD30_3	3.68E+08	Experiment 2
HLPDay30	HLPD30_4	4.05E+08	Experiment 2
SYUDay0	SYUD0_1	2.37E+07	Experiment 2
SYUDay0	SYUD0_2	2.42E+07	Experiment 2
SYUDay0	SYUD0_3	2.48E+07	Experiment 2
SYUDay0	SYUD0_4	2.55E+07	Experiment 2
SYUDay0	SYUD0_5	2.55E+07	Experiment 2
SYUDay0	SYUD0_6	2.99E+07	Experiment 2
SYUDay7	SYUD7_1	9.21E+08	Experiment 2
SYUDay7	SYUD7_2	8.33E+08	Experiment 2
SYUDay7	SYUD7_3	7.77E+08	Experiment 2
SYUDay7	SYUD7_4	1.05E+09	Experiment 2
SYUDay7	SYUD7_5	8.89E+08	Experiment 2
SYUDay7	SYUD7_6	7.68E+08	Experiment 2
SYUDay30	SYUD30_1	2.06E+09	Experiment 2
SYUDay30	SYUD30_2	2.08E+09	Experiment 2
SYUDay30	SYUD30_3	2.22E+09	Experiment 2
SYUDay30	SYUD30_4	2.25E+09	Experiment 2
