,qPCR,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8
Otu10,7.85924152,6.140266354,6.913077837,7.934233528,8.260576394,8.663827344,8.761093941,8.657648049,8.423813428
Otu1000,6.32868227,4.879949696,5.565656346,6.577637451,6.662504639,7.396755608,7.325165196,7.111643311,7.145037556
Otu10006,5.374403684,0,4.083299153,5.349139761,5.803656077,0,0,0,0
Otu10018,5.374457178,3.895222003,0,5.065705408,5.536450381,5.961002892,0,0,0
Otu1002,6.328627146,4.654578181,5.425614537,6.268058548,6.736891983,7.154470569,7.198606035,7.200627053,6.355792795
Otu100206,5.675154512,3.852365039,4.730254417,0,6.131723075,6.181442944,6.620549838,6.324520418,6.670880913
Otu10023,0,0,4.657292472,0,5.504333493,5.961002892,6.046932434,0,6.347406354
Otu10024,5.550133065,3.971699133,4.074946684,5.507585024,5.400342215,6.22234109,6.047487724,6.05983806,0
Otu1003,7.068808694,5.30041247,6.060239587,7.060393481,7.421540722,7.843319492,7.917044409,7.842541666,7.786393514
Otu10036,5.772308475,3.916293078,4.943867076,6.067128804,6.076272305,6.379808358,6.497256113,6.299095727,6.355792795
Otu100412,5.550365329,3.516184159,0,5.065705408,6.218007873,6.412647761,6.730215167,6.060004396,0
Otu10043,5.374457178,3.421510737,0,5.411477774,5.803656077,6.762614153,5.894308026,5.992037133,0
Otu1005,6.535660086,4.79134921,5.385915338,6.333393209,6.713838051,7.060538864,7.258131617,6.909203885,7.144710707
Otu10055,0,3.676854658,4.160010059,0,5.803656077,5.883404663,6.252739496,6.060004396,0
Otu100563,5.851955948,4.090921588,4.926731899,5.743624353,6.173977544,6.691729743,6.801521641,6.616703975,6.367899516
Otu1006,6.535688626,4.726154928,5.571355342,6.502649014,6.718437522,7.253850796,7.494057119,7.185758775,6.852434957
Otu100613,0,3.294094406,0,5.045836376,5.504333493,0,6.338784475,0,6.65540958
Otu1007,6.249235503,4.476523169,5.1516408,6.333128573,6.67378659,7.286608056,7.344646091,7.123635131,6.355792795
Otu10070,5.550098632,3.72029565,4.812762759,5.950280822,6.05840259,6.708802655,6.345829125,6.329158227,6.654963688
Otu100710,5.550195092,3.258619857,4.218002006,5.692107654,6.213982657,6.964534853,6.853493252,6.329158227,0
Otu100753,5.073590787,3.294094406,4.188038783,5.399894819,6.047162408,6.412647761,6.340308534,6.329158227,0
Otu1008,6.685964126,4.980672112,5.567822134,6.688240213,7.090343181,7.493441615,7.656253766,7.494074629,7.441331338
Otu100829,5.675340613,4.233481353,4.894671174,5.808645423,6.074495146,6.405655827,6.806959563,6.061449166,0
Otu10083,6.117894979,4.493341192,5.125022287,6.203608727,6.625058605,6.861122875,7.095231626,6.596952541,6.656822781
Otu100880,5.550448434,3.933074023,0,5.622761275,5.959587087,5.883404663,0,6.061449166,6.364014807
Otu1009,6.277308856,4.361564593,4.993989953,6.085902626,6.63710182,7.19089133,7.053634114,6.761486662,7.136639476
Otu10091,5.77220513,3.968322742,4.420152947,5.64749534,5.709712827,5.961002892,6.046932434,6.464148583,6.837042188
Otu100935,6.066469896,4.436456175,5.330763066,6.076098332,6.144609221,6.962064661,7.117874616,6.615517325,0
