,qPCR,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9
Otu10,4.047052609,0,2.542180187,0,3.53391958,4.066049312,4.061159184,3.9513206,0,0
Otu100,5.579386717,3.811938248,4.891825695,5.555713059,5.410569227,5.33468081,5.534007663,5.969989216,6.155798851,6.420441219
Otu10000,0,1.625072128,3.047094291,3.469998531,3.249192769,0,3.833238504,4.418255111,0,0
Otu10009,3.619220347,2.186248075,0,3.16895382,3.713340756,3.854772371,3.540258269,4.245817954,4.377706554,0
Otu10020,4.210635012,1.625072128,3.174221767,3.698853301,4.194475937,3.729745893,4.260965014,4.644801949,4.648224459,0
Otu10034,3.619757025,2.263273605,2.866961101,0,3.502814598,3.251867998,3.551860032,0,0,0
Otu1005,4.152756388,1.870939467,3.061148384,3.384607279,3.837033671,3.852764142,4.262434829,4.262979603,5.075972603,5.248584518
Otu10053,4.49805657,2.641935664,3.747504343,4.385804837,4.249987198,4.151099116,4.384861525,4.424626806,4.377706554,0
Otu10057,4.08677385,2.709911849,3.771977637,3.976226677,4.39678066,4.155675524,4.464988049,3.9513206,4.817045259,4.967699198
Otu1006,4.669796649,2.252065359,3.203628009,4.050161183,3.833926942,3.731707823,3.522902003,4.843525122,0,4.969816412
Otu1007,3.619528241,2.186248075,3.35824322,4.072477066,3.211031744,3.528385858,0,4.422494245,0,0
Otu10085,3.32902773,1.870939467,2.856283991,0,3.686441019,0,0,0,4.332713765,0
Otu10097,3.327817828,0,2.549165074,3.16895382,0,0,0,0,0,0
Otu101,5.45703211,3.733728685,4.741689384,5.334765653,5.368431407,5.17946881,5.182389663,5.697972061,6.046645359,6.325334851
Otu10107,4.586149556,2.656607218,3.667945501,4.446410436,4.54321392,4.400069732,4.626017202,4.651653122,5.265189383,5.26447004
Otu10116,3.327817828,1.625072128,0,3.469998531,0,3.552897993,3.841288195,0,4.325009689,0
Otu1012,4.152889013,2.449342379,2.517483727,4.078616735,4.336442156,4.04665723,4.150668452,4.235945829,4.82689915,4.96173768
Otu10121,3.32832683,2.179454838,3.072820041,3.616176463,3.936127705,3.233391832,4.048548133,0,4.382322691,0
Otu1013,3.327817828,0,2.889480081,0,0,0,0,0,0,0
Otu10145,4.512192454,2.62191822,3.528713639,4.209233403,4.434510823,4.293271657,4.507134558,4.648615058,4.683172571,5.446937666
Otu10165,5.15921562,3.416903114,4.23524535,4.708662571,5.183023715,4.769680989,5.227443185,5.208538581,5.341948169,0
Otu10178,0,1.774944105,2.588450085,3.501217028,3.213300734,0,0,0,0,0
Otu1018,3.618218846,0,0,3.493808499,0,0,0,0,0,0
Otu1019,3.327817828,0,0,0,3.514330729,3.552882691,3.551860032,3.963000483,0,0
Otu10192,4.562722506,2.42016864,3.786412407,4.348880791,3.896371451,3.528385858,4.339309243,4.553236846,4.340145885,5.442697174
Otu10193,4.42189332,2.697475863,3.624526016,4.134270751,4.3287092,4.211817397,4.049674241,4.551592457,4.948189,0
Otu10196,3.910166993,0,2.517483727,3.441328938,3.499848088,3.26979646,0,3.963000483,0,0
Otu102,5.368077391,3.523126176,4.653066676,5.239335401,5.20261892,4.960296799,5.131220674,5.570710016,5.720715862,6.216572579
