16S rRNA  gene	HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30
Level1	2.15 	2.43 	1.81 	1.39 	2.15 	1.82 
Level2	1.28 	0.79 	0.96 	0.06 	0.95 	0.89 
Level3	0.37 	-0.22 	-0.01 	-0.51 	0.01 	-0.03 
Level4	-0.10 	-0.39 	-0.39 	-0.75 	-0.42 	-0.43 
Level5	-0.48 	-0.78 	-0.83 	-1.12 	-0.82 	-0.80 
Level6	-0.68 	-0.86 	-0.91 	-1.36 	-0.95 	-0.91 
Level7	-0.53 	-0.69 	-0.74 	-1.16 	-0.89 	-0.85 
Level8	-0.37 	-0.56 	-0.63 	-1.11 	-0.80 	-0.68 
						
						
ITS  gene	HLP_Day0	HLP_Day7	HLP_Day30	SYU_Day0	SYU_Day7	SYU_Day30
Level1	1.95 	1.68 	1.81 	1.25 	1.92 	1.99 
Level2	0.96 	0.72 	0.72 	0.14 	1.16 	0.94 
Level3	0.09 	0.11 	0.18 	-0.39 	0.46 	0.36 
Level4	0.08 	0.08 	0.14 	-0.50 	0.23 	0.32 
Level5	0.16 	0.09 	0.23 	-0.44 	0.19 	0.34 
Level6	0.17 	0.05 	0.07 	-0.42 	0.18 	0.38 
Level7	-0.12 	-0.23 	-0.24 	-0.53 	-0.06 	0.14 
Level8	-0.53 	-0.58 	-0.49 	-0.88 	-0.28 	-0.29 
Level9	-0.79 	-0.74 	-0.66 	-1.02 	-0.55 	-0.36 
