SampleID	SS_error	RA	Level	Time	Site
3	0.031432918	0.205329422	L1	Day0	HL
4	0.006031965	0.076220779	L1	Day0	HL
5	1.67E-16	0.067011615	L1	Day0	HL
6	0.051152522	-0.075739	L1	Day0	HL
7	0.030839701	-0.091969602	L1	Day0	HL
8	0.005497472	-0.167998581	L1	Day0	HL
9	0.00796893	-0.194184777	L1	Day0	HL
10	0.066480057	-0.263056589	L1	Day0	HL
11	0.074246028	-0.264837217	L1	Day0	HL
12	0.013062473	-0.283429245	L1	Day0	HL
13	0	-0.315900534	L1	Day0	HL
14	0.036983566	-0.317106351	L1	Day0	HL
15	0.117708935	-0.330596111	L1	Day0	HL
16	0.026559029	-0.378388204	L1	Day0	HL
17	0.030759364	-0.385396874	L1	Day0	HL
18	0.010723865	-0.438437636	L1	Day0	HL
19	0.090919649	-0.438437636	L1	Day0	HL
20	0.028028724	-0.441106941	L1	Day0	HL
21	0.055155265	-0.447037808	L1	Day0	HL
22	0.013643881	-0.447037808	L1	Day0	HL
23	0.035997653	-0.449760667	L1	Day0	HL
24	0.082186756	-0.457476761	L1	Day0	HL
25	0	-0.465899026	L1	Day0	HL
26	0.027671427	-0.487400267	L1	Day0	HL
27	0.061745596	-0.495821753	L1	Day0	HL
28	0.041392685	-0.507518556	L1	Day0	HL
29	0.114473303	-0.517618882	L1	Day0	HL
30	0	-0.538552789	L1	Day0	HL
31	0.154262822	-0.542592767	L1	Day0	HL
32	0.029454979	-0.54667068	L1	Day0	HL
33	0.087150176	-0.557036195	L1	Day0	HL
34	0.168122329	-0.56479796	L1	Day0	HL
35	0.043778925	-0.56479796	L1	Day0	HL
36	0.126605896	-0.57634135	L1	Day0	HL
37	0.012589127	-0.581489694	L1	Day0	HL
38	0.073231914	-0.591215903	L1	Day0	HL
39	0.020684599	-0.603493596	L1	Day0	HL
40	0.028488538	-0.607402664	L1	Day0	HL
41	0.008600172	-0.608976196	L1	Day0	HL
42	0.082974235	-0.614528895	L1	Day0	HL
43	0.091330136	-0.616128509	L1	Day0	HL
44	0.026734253	-0.625851926	L1	Day0	HL
45	0.049485363	-0.629968492	L1	Day0	HL
46	0.045757491	-0.639164676	L1	Day0	HL
47	0.093421685	-0.640857834	L1	Day0	HL
