SampleID	SS_error	RA	Level	Time	Site
1	0.002223735	0.880933815	L1	Day0	SY
2	0.008690318	0.638475748	L1	Day0	SY
3	0.016155878	0.15867117	L1	Day0	SY
4	0.019449272	0.022047491	L1	Day0	SY
5	0.076959786	-0.08696533	L1	Day0	SY
6	0.007790244	-0.087676705	L1	Day0	SY
7	0.009095505	-0.112584057	L1	Day0	SY
8	0.050263485	-0.133434196	L1	Day0	SY
9	0.016215544	-0.141955269	L1	Day0	SY
10	0.07684003	-0.158676781	L1	Day0	SY
11	0.016494178	-0.191463814	L1	Day0	SY
12	0.031756596	-0.20152514	L1	Day0	SY
13	0.033639608	-0.207425549	L1	Day0	SY
14	0.053245512	-0.240211932	L1	Day0	SY
15	0.00590886	-0.279351332	L1	Day0	SY
16	0.048643179	-0.293985533	L1	Day0	SY
17	0.022276395	-0.299361484	L1	Day0	SY
18	0.011791525	-0.32115009	L1	Day0	SY
19	0.027521074	-0.331011505	L1	Day0	SY
20	0.065817284	-0.332677066	L1	Day0	SY
21	0.079181246	-0.336448098	L1	Day0	SY
22	0.041392685	-0.339827839	L1	Day0	SY
23	0.003760149	-0.354492601	L1	Day0	SY
24	0.0641175	-0.366501508	L1	Day0	SY
25	0.003860421	-0.367404408	L1	Day0	SY
26	0.029670671	-0.376538172	L1	Day0	SY
27	0	-0.40961131	L1	Day0	SY
28	0.041001605	-0.413111688	L1	Day0	SY
29	0.060295902	-0.418669924	L1	Day0	SY
30	0.097955247	-0.421731943	L1	Day0	SY
31	0.009240657	-0.433147748	L1	Day0	SY
32	0.009870754	-0.451402614	L1	Day0	SY
33	0.050556373	-0.456366033	L1	Day0	SY
34	0.039064023	-0.461948301	L1	Day0	SY
35	0.037788561	-0.469314203	L1	Day0	SY
36	0.150244602	-0.49219253	L1	Day0	SY
37	0.16185082	-0.500094537	L1	Day0	SY
38	0.079181246	-0.512539357	L1	Day0	SY
39	0.053519256	-0.529269806	L1	Day0	SY
40	0.096910013	-0.541241928	L1	Day0	SY
41	0.005603878	-0.54667068	L1	Day0	SY
42	0.157607853	-0.555639749	L1	Day0	SY
43	0.188500517	-0.573426611	L1	Day0	SY
44	0.170696227	-0.578540314	L1	Day0	SY
45	0	-0.588154877	L1	Day0	SY
46	0.013363962	-0.588199957	L1	Day0	SY
47	0.030489322	-0.598848691	L1	Day0	SY
48	0.046996563	-0.610555451	L1	Day0	SY
49	0.027583522	-0.611347237	L1	Day0	SY
50	0.226396377	-0.617734035	L1	Day0	SY
51	0.00796893	-0.624216163	L1	Day0	SY
52	0.110698297	-0.631626106	L1	Day0	SY
53	0.046576142	-0.631626106	L1	Day0	SY
54	0.069326491	-0.639164676	L1	Day0	SY
55	0.17312678	-0.644264083	L1	Day0	SY
56	0.070581074	-0.650290069	L1	Day0	SY
57	0.12082217	-0.656400846	L1	Day0	SY
58	0.092754053	-0.669792282	L1	Day0	SY
59	0.215115367	-0.670699899	L1	Day0	SY
60	0.127578833	-0.671609416	L1	Day0	SY
61	0.052178012	-0.679881942	L1	Day0	SY
62	0.008773924	-0.681741878	L1	Day0	SY
63	0.024823584	-0.683609815	L1	Day0	SY
64	0.111973759	-0.690211595	L1	Day0	SY
65	0.053875381	-0.691162953	L1	Day0	SY
66	0.1224064	-0.695951253	L1	Day0	SY
67	0.03066882	-0.703724069	L1	Day0	SY
68	0.025807264	-0.715650525	L1	Day0	SY
69	0.047772782	-0.717670503	L1	Day0	SY
70	0.007825338	-0.718684026	L1	Day0	SY
71	0.03407979	-0.718684026	L1	Day0	SY
72	0.056904851	-0.720718196	L1	Day0	SY
73	0.00811789	-0.721738865	L1	Day0	SY
74	0.150644137	-0.725845699	L1	Day0	SY
75	0.017374096	-0.732079698	L1	Day0	SY
76	0.092754053	-0.737343938	L1	Day0	SY
77	0.039508541	-0.748067804	L1	Day0	SY
78	0.080823193	-0.7491549	L1	Day0	SY
79	0.046743404	-0.752432609	L1	Day0	SY
80	0.054357662	-0.7535307	L1	Day0	SY
81	0.077412223	-0.755735245	L1	Day0	SY
82	0.070037867	-0.757951038	L1	Day0	SY
83	0.056481356	-0.760178194	L1	Day0	SY
84	0.062147907	-0.765796571	L1	Day0	SY
85	0	-0.770344199	L1	Day0	SY
86	0.101026579	-0.770344199	L1	Day0	SY
87	0.082974235	-0.773786445	L1	Day0	SY
88	0.053245512	-0.787834931	L1	Day0	SY
89	0.054357662	-0.79022117	L1	Day0	SY
90	0.03066882	-0.797459579	L1	Day0	SY
91	0.225309282	-0.799899442	L1	Day0	SY
92	0.040428657	-0.80235309	L1	Day0	SY
93	0.010995384	-0.806059751	L1	Day0	SY
94	0.055047566	-0.811051696	L1	Day0	SY
95	0.043465694	-0.813569353	L1	Day0	SY
96	0.182340208	-0.817373416	L1	Day0	SY
97	0.023912157	-0.823788518	L1	Day0	SY
98	0.319513401	-0.823788518	L1	Day0	SY
99	0	-0.828989711	L1	Day0	SY
100	0.062147907	-0.835580043	L1	Day0	SY
101	0.068715812	-0.836910195	L1	Day0	SY
102	0.117385599	-0.838244434	L1	Day0	SY
103	0.044582133	-0.843622763	L1	Day0	SY
104	0.028963696	-0.847700675	L1	Day0	SY
105	0.079181246	-0.851817241	L1	Day0	SY
106	0.056481356	-0.854583458	L1	Day0	SY
107	0.037788561	-0.855973201	L1	Day0	SY
108	0.176091259	-0.860169316	L1	Day0	SY
109	0.260412145	-0.86298942	L1	Day0	SY
110	0.037788561	-0.86298942	L1	Day0	SY
111	0.301029996	-0.87300654	L1	Day0	SY
112	0.111150452	-0.875911531	L1	Day0	SY
113	0.170696227	-0.875911531	L1	Day0	SY
114	0.121422163	-0.886234806	L1	Day0	SY
115	0.049687784	-0.890735307	L1	Day0	SY
116	0.085914629	-0.896809455	L1	Day0	SY
117	0.014240439	-0.896809455	L1	Day0	SY
118	0.031408464	-0.89834136	L1	Day0	SY
119	0.212608093	-0.901421475	L1	Day0	SY
120	0.073786214	-0.902969764	L1	Day0	SY
121	0.198367654	-0.902969764	L1	Day0	SY
122	0.111150452	-0.904523592	L1	Day0	SY
123	0.056115942	-0.904523592	L1	Day0	SY
124	0.05999793	-0.906082999	L1	Day0	SY
125	0.049218023	-0.907648026	L1	Day0	SY
126	0.015794267	-0.909218713	L1	Day0	SY
127	0.071355909	-0.913965148	L1	Day0	SY
128	0.04742465	-0.913965148	L1	Day0	SY
129	0.100115153	-0.917158504	L1	Day0	SY
130	0.119186408	-0.917158504	L1	Day0	SY
131	0.093904503	-0.918764031	L1	Day0	SY
132	0.015794267	-0.918764031	L1	Day0	SY
133	0.096910013	-0.928523868	L1	Day0	SY
134	0.163856803	-0.928523868	L1	Day0	SY
135	0.057991947	-0.928523868	L1	Day0	SY
136	0.035715552	-0.931826504	L1	Day0	SY
137	0.148419832	-0.931826504	L1	Day0	SY
138	0.085430195	-0.936828031	L1	Day0	SY
139	0.117385599	-0.94188783	L1	Day0	SY
140	0.069080919	-0.943587615	L1	Day0	SY
141	0.199572355	-0.943587615	L1	Day0	SY
142	0.019305155	-0.943587615	L1	Day0	SY
143	0.148939013	-0.943587615	L1	Day0	SY
144	0.100115153	-0.945294079	L1	Day0	SY
145	0.138302698	-0.948727254	L1	Day0	SY
146	0.079181246	-0.955676114	L1	Day0	SY
147	0.143422142	-0.959192688	L1	Day0	SY
148	0.249877473	-0.959192688	L1	Day0	SY
149	0.093421685	-0.964521522	L1	Day0	SY
150	0.111150452	-0.964521522	L1	Day0	SY
151	0.064457989	-0.973550838	L1	Day0	SY
152	0.16840443	-0.973550838	L1	Day0	SY
153	0.217483944	-0.975379449	L1	Day0	SY
154	0.04742465	-0.977215792	L1	Day0	SY
155	0.313619123	-0.986515815	L1	Day0	SY
156	0.217483944	-0.988399959	L1	Day0	SY
157	0.029963223	-0.988399959	L1	Day0	SY
158	0.142667504	-0.994101938	L1	Day0	SY
159	0.051152522	-0.999879777	L1	Day0	SY
160	0.129633858	-1.001822932	L1	Day0	SY
161	0.029963223	-1.003774821	L1	Day0	SY
162	0.062147907	-1.007705114	L1	Day0	SY
163	0.119186408	-1.011671302	L1	Day0	SY
164	0.034762106	-1.011671302	L1	Day0	SY
165	0.024823584	-1.011671302	L1	Day0	SY
166	0.210853365	-1.013668061	L1	Day0	SY
167	0.111150452	-1.015674044	L1	Day0	SY
168	0.06069784	-1.017689335	L1	Day0	SY
169	0.131278915	-1.021748192	L1	Day0	SY
170	0.014723257	-1.021748192	L1	Day0	SY
171	0.111150452	-1.023791934	L1	Day0	SY
172	0.109144469	-1.02584534	L1	Day0	SY
173	0.274701057	-1.02584534	L1	Day0	SY
174	0.021189299	-1.02584534	L1	Day0	SY
175	0.243038049	-1.0279085	L1	Day0	SY
176	0.403692338	-1.03415745	L1	Day0	SY
177	0	-1.036260575	L1	Day0	SY
178	0.146128036	-1.036260575	L1	Day0	SY
179	0.024823584	-1.040497628	L1	Day0	SY
180	0	-1.040497628	L1	Day0	SY
181	0.111973759	-1.040497628	L1	Day0	SY
182	0.021189299	-1.044776426	L1	Day0	SY
183	0.2155998	-1.046931738	L1	Day0	SY
184	0.286306739	-1.0490978	L1	Day0	SY
185	0.191885526	-1.051274719	L1	Day0	SY
186	0.020203386	-1.055661569	L1	Day0	SY
187	0.270361176	-1.057871724	L1	Day0	SY
188	0.041392685	-1.064570486	L1	Day0	SY
189	0.16840443	-1.066826566	L1	Day0	SY
190	0.06069784	-1.069094428	L1	Day0	SY
191	0.21670911	-1.069094428	L1	Day0	SY
192	0.057991947	-1.069094428	L1	Day0	SY
193	0.036212173	-1.069094428	L1	Day0	SY
194	0	-1.069094428	L1	Day0	SY
195	0	-1.071374194	L1	Day0	SY
196	0.348454646	-1.073665991	L1	Day0	SY
197	0.273001272	-1.075969946	L1	Day0	SY
198	0.088941083	-1.078286189	L1	Day0	SY
199	0.022276395	-1.082956067	L1	Day0	SY
200	0.204119983	-1.082956067	L1	Day0	SY
201	0.026328939	-1.087676705	L1	Day0	SY
202	0.193820026	-1.087676705	L1	Day0	SY
203	0.164810249	-1.090056407	L1	Day0	SY
204	0.019305155	-1.090056407	L1	Day0	SY
205	0.161368002	-1.090056407	L1	Day0	SY
206	0.131278915	-1.09244922	L1	Day0	SY
207	0.092754053	-1.09485529	L1	Day0	SY
208	0.345233658	-1.097274764	L1	Day0	SY
209	0.079181246	-1.099707793	L1	Day0	SY
210	0.21670911	-1.099707793	L1	Day0	SY
211	0	-1.101272115	L1	Day0	SY
212	0.113943352	-1.102154529	L1	Day0	SY
213	0.22184875	-1.112081692	L1	Day0	SY
214	0.085430195	-1.112081692	L1	Day0	SY
215	0.21387982	-1.112081692	L1	Day0	SY
216	0.21387982	-1.114599348	L1	Day0	SY
217	0.157607853	-1.117131685	L1	Day0	SY
218	0.124938737	-1.117131685	L1	Day0	SY
219	0.023481096	-1.119678874	L1	Day0	SY
220	0.131278915	-1.119678874	L1	Day0	SY
221	0.136219747	-1.119678874	L1	Day0	SY
222	0.185636577	-1.122241091	L1	Day0	SY
223	0.247784484	-1.122241091	L1	Day0	SY
224	0.051152522	-1.124818513	L1	Day0	SY
225	0.029963223	-1.124818513	L1	Day0	SY
226	0.024823584	-1.130019707	L1	Day0	SY
227	0.087150176	-1.130019707	L1	Day0	SY
228	0.14976232	-1.132643851	L1	Day0	SY
229	0.118099312	-1.135283947	L1	Day0	SY
230	0.024823584	-1.137940191	L1	Day0	SY
231	0.136219747	-1.140612781	L1	Day0	SY
232	0.018483406	-1.143301919	L1	Day0	SY
233	0.15490196	-1.143301919	L1	Day0	SY
234	0.029963223	-1.143301919	L1	Day0	SY
235	0.124938737	-1.146007813	L1	Day0	SY
236	0.024823584	-1.146007813	L1	Day0	SY
237	0.028028724	-1.146007813	L1	Day0	SY
238	0.026328939	-1.146007813	L1	Day0	SY
239	0.419129308	-1.148730671	L1	Day0	SY
240	0	-1.148730671	L1	Day0	SY
241	0.034762106	-1.151470708	L1	Day0	SY
242	0	-1.154228143	L1	Day0	SY
243	0.544068044	-1.154228143	L1	Day0	SY
244	0.141329153	-1.154228143	L1	Day0	SY
245	0.176091259	-1.154228143	L1	Day0	SY
246	0.146128036	-1.157003197	L1	Day0	SY
247	0.210853365	-1.157003197	L1	Day0	SY
248	0.124938737	-1.157003197	L1	Day0	SY
249	0.113943352	-1.157003197	L1	Day0	SY
250	0.263241435	-1.165436364	L1	Day0	SY
251	0.184524427	-1.174036536	L1	Day0	SY
252	0	-1.174036536	L1	Day0	SY
253	0.142667504	-1.174036536	L1	Day0	SY
254	0.09017663	-1.174036536	L1	Day0	SY
255	0.15490196	-1.176941527	L1	Day0	SY
256	0.041392685	-1.17986608	L1	Day0	SY
257	0.189056236	-1.17986608	L1	Day0	SY
258	0.041392685	-1.18281046	L1	Day0	SY
259	0.074633618	-1.18281046	L1	Day0	SY
260	0.104735351	-1.185774939	L1	Day0	SY
261	0.166331422	-1.188759793	L1	Day0	SY
262	0.28082661	-1.188759793	L1	Day0	SY
263	0.021189299	-1.191765303	L1	Day0	SY
264	0.208275942	-1.191765303	L1	Day0	SY
265	0.185636577	-1.191765303	L1	Day0	SY
266	0.388180171	-1.191765303	L1	Day0	SY
267	0.054357662	-1.194791758	L1	Day0	SY
268	0.051152522	-1.197839451	L1	Day0	SY
269	0.237360916	-1.197839451	L1	Day0	SY
270	0.22184875	-1.200908683	L1	Day0	SY
271	0.104735351	-1.200908683	L1	Day0	SY
272	0.051152522	-1.20399976	L1	Day0	SY
273	0.176091259	-1.20399976	L1	Day0	SY
274	0.026328939	-1.20399976	L1	Day0	SY
275	0.162727297	-1.20399976	L1	Day0	SY
276	0.199572355	-1.207112995	L1	Day0	SY
277	0.096910013	-1.207112995	L1	Day0	SY
278	0.2155998	-1.210248709	L1	Day0	SY
279	0.204119983	-1.210248709	L1	Day0	SY
280	0.054357662	-1.210248709	L1	Day0	SY
281	0.026328939	-1.213407228	L1	Day0	SY
282	0.051152522	-1.216588887	L1	Day0	SY
283	0.113943352	-1.216588887	L1	Day0	SY
284	0.096910013	-1.216588887	L1	Day0	SY
285	0.187086643	-1.219794027	L1	Day0	SY
286	0.131278915	-1.219794027	L1	Day0	SY
287	0.320335151	-1.219794027	L1	Day0	SY
288	0.062147907	-1.219794027	L1	Day0	SY
289	0.051152522	-1.219794027	L1	Day0	SY
290	0.22184875	-1.223022997	L1	Day0	SY
291	0.026328939	-1.223022997	L1	Day0	SY
292	0.032184683	-1.223022997	L1	Day0	SY
293	0.045757491	-1.226276154	L1	Day0	SY
294	0.419129308	-1.226276154	L1	Day0	SY
295	0.249877473	-1.226276154	L1	Day0	SY
296	0.199572355	-1.226276154	L1	Day0	SY
297	0	-1.229553864	L1	Day0	SY
298	0.230448921	-1.229553864	L1	Day0	SY
299	0.070581074	-1.2328565	L1	Day0	SY
300	0.146128036	-1.2328565	L1	Day0	SY
301	0.124938737	-1.2328565	L1	Day0	SY
302	0.367976785	-1.2328565	L1	Day0	SY
303	0.157607853	-1.236184443	L1	Day0	SY
304	0	-1.236184443	L1	Day0	SY
305	0	-1.234983443	L1	Day0	SY
306	0.263241435	-1.239538085	L1	Day0	SY
307	0	-1.239538085	L1	Day0	SY
308	0.028028724	-1.239538085	L1	Day0	SY
309	0.134698574	-1.239538085	L1	Day0	SY
310	0.09017663	-1.239538085	L1	Day0	SY
311	0.28082661	-1.239538085	L1	Day0	SY
312	0.21387982	-1.242917826	L1	Day0	SY
313	0.029963223	-1.242917826	L1	Day0	SY
314	1.22184875	-1.241698087	L1	Day0	SY
315	0.134698574	-1.242917826	L1	Day0	SY
316	0.062147907	-1.242917826	L1	Day0	SY
317	0.199572355	-1.246324074	L1	Day0	SY
318	0.116505569	-1.246324074	L1	Day0	SY
319	0.189056236	-1.246324074	L1	Day0	SY
320	0	-1.246324074	L1	Day0	SY
321	0.087150176	-1.24975725	L1	Day0	SY
322	0.028028724	-1.24975725	L1	Day0	SY
323	0.113943352	-1.24975725	L1	Day0	SY
324	0.22184875	-1.24975725	L1	Day0	SY
325	0.22184875	-1.253217782	L1	Day0	SY
326	0.079181246	-1.25670611	L1	Day0	SY
