SampleID	SS_error	RA	Level	Time	Site
3	0.273001272	-0.908575885	L1	Day0	HL
4	0.056115942	-0.738911412	L1	Day0	HL
5	0.301029996	-1.82613538	L1	Day0	HL
6	0.602059991	-1.947034139	L1	Day0	HL
7	0.029963224	-0.682332887	L1	Day0	HL
8	1.221848791	-1.931239872	L1	Day0	HL
9	1.522878787	-1.691166301	L1	Day0	HL
10	2.21E-10	-0.494169131	L1	Day0	HL
11	1.221848791	-1.270058426	L1	Day0	HL
12	0.301029996	-1.57448579	L1	Day0	HL
13	0.025577875	1.055606479	L1	Day0	HL
14	0.061269657	-0.528569162	L1	Day0	HL
15	0.043465695	-0.897433307	L1	Day0	HL
16	0.477121255	-1.82613538	L1	Day0	HL
17	0.142106761	-0.543765295	L1	Day0	HL
18	0.477121256	-1.355832074	L1	Day0	HL
19	1.221848791	-1.911036485	L1	Day0	HL
20	0.210853365	-0.918001263	L1	Day0	HL
21	0.602059991	-1.877795552	L1	Day0	HL
22	0.109144471	-1.32149305	L1	Day0	HL
23	0.141329152	-1.115946812	L1	Day0	HL
24	0.301029996	-1.802440714	L1	Day0	HL
25	0.1172246	-0.263009308	L1	Day0	HL
26	0.249877474	-0.943828997	L1	Day0	HL
27	0.301029996	-1.931239871	L1	Day0	HL
28	0.301029996	-1.855519157	L1	Day0	HL
29	0.301029996	-1.798614306	L1	Day0	HL
30	0.151267675	-0.714383066	L1	Day0	HL
31	0.079181246	-0.515273394	L1	Day0	HL
32	0.132625565	-0.615469384	L1	Day0	HL
33	0	-1.610006489	L1	Day0	HL
34	0.191885527	-0.970157936	L1	Day0	HL
35	0.043465694	-0.466707742	L1	Day0	HL
36	0	-1.776337912	L1	Day0	HL
37	0.301029996	-1.998186661	L1	Day0	HL
38	0.163856803	-0.683208187	L1	Day0	HL
39	0.073786215	-0.716269938	L1	Day0	HL
40	1.522878787	-1.846918986	L1	Day0	HL
41	0.029102382	0.330249578	L1	Day0	HL
42	1.221848791	-1.016670065	L1	Day0	HL
43	1.522878787	-1.868747423	L1	Day0	HL
44	0.477121255	-1.830213292	L1	Day0	HL
45	0	-1.080272896	L1	Day0	HL
46	0.021189299	-0.892203644	L1	Day0	HL
47	0.087150175	-1.135359852	L1	Day0	HL
48	0.096910014	-1.167990195	L1	Day0	HL
49	0.215599799	-1.023010243	L1	Day0	HL
50	0.039508541	0.170400843	L1	Day0	HL
51	0.054357662	-0.891259525	L1	Day0	HL
52	0.134698574	-0.736263266	L1	Day0	HL
53	0.070581073	-0.832266696	L1	Day0	HL
54	0.142667503	-0.739908644	L1	Day0	HL
55	0.087150176	-1.044614875	L1	Day0	HL
56	0.05958569	-0.564816912	L1	Day0	HL
57	0.087150176	-0.995181149	L1	Day0	HL
58	0.013770795	0.722890815	L1	Day0	HL
59	0.05999793	-0.607545889	L1	Day0	HL
60	0.314393957	-0.711256382	L1	Day0	HL
61	0.477121256	-1.738247861	L1	Day0	HL
62	0.477121255	-1.926100232	L1	Day0	HL
63	0	-1.202306642	L1	Day0	HL
64	0	-1.830213292	L1	Day0	HL
65	0.397940011	-1.457579148	L1	Day0	HL
66	0.026328939	-0.885637512	L1	Day0	HL
67	0.037345177	0.25182651	L1	Day0	HL
68	3.46E-09	-1.941705305	L1	Day0	HL
69	0.698970004	-1.706300045	L1	Day0	HL
70	0.132625565	-0.974134499	L1	Day0	HL
71	0.159700843	-0.807077352	L1	Day0	HL
72	0.447158034	-1.10117082	L1	Day0	HL
73	0.421005312	-0.88517228	L1	Day0	HL
74	0.074633619	-0.943828997	L1	Day0	HL
75	0.166331422	-0.888439421	L1	Day0	HL
76	0.176091259	-1.947034139	L1	Day0	HL
77	1.698970046	-0.194179816	L1	Day0	HL
78	0.324511091	-0.92610023	L1	Day0	HL
79	0.084320887	-1.169777417	L1	Day0	HL
80	0.079181248	-1.630209875	L1	Day0	HL
81	0.397940009	-1.78363715	L1	Day0	HL
82	0.301029997	-1.217029899	L1	Day0	HL
83	0.087150176	-1.229178789	L1	Day0	HL
84	0.522878746	-1.659619505	L1	Day0	HL
85	0.06694679	-1.201342614	L1	Day0	HL
86	0.041392685	-1.27459418	L1	Day0	HL
87	0.096910014	-1.337005217	L1	Day0	HL
88	0.096910013	-1.253459165	L1	Day0	HL
89	0.17609126	-0.965098137	L1	Day0	HL
