SampleID	SS_error	RA	Level	Time	Site
1	0.009685909	1.074155162	L1	Raw	SY
2	1.602060033	-1.947570636	L1	Raw	SY
3	0.053627141	-0.229486908	L1	Raw	SY
4	0.081397847	-0.453085809	L1	Raw	SY
5	0	-0.632490729	L1	Raw	SY
6	0	-1.786962262	L1	Raw	SY
7	0.237836855	-0.431618237	L1	Raw	SY
8	0.046996563	-0.581361306	L1	Raw	SY
9	0.522878745	-1.675680229	L1	Raw	SY
10	0.028028724	-0.446431786	L1	Raw	SY
11	0.096910013	-1.457579148	L1	Raw	SY
12	0.079181246	-1.233305133	L1	Raw	SY
13	0.380211242	-1.976997362	L1	Raw	SY
14	0.77815125	-1.86606934	L1	Raw	SY
15	0.007926971	0.866670375	L1	Raw	SY
16	0.061083024	-0.407276743	L1	Raw	SY
17	0.067282023	-0.542918716	L1	Raw	SY
18	0.085629003	-0.734616338	L1	Raw	SY
19	0.176091259	-0.940647338	L1	Raw	SY
20	0.11965314	-0.583909854	L1	Raw	SY
21	0.68124124	-1.791810597	L1	Raw	SY
22	0	-0.415996993	L1	Raw	SY
23	0	-0.397803745	L1	Raw	SY
24	0	-1.971857723	L1	Raw	SY
25	0.205458333	-0.500642733	L1	Raw	SY
26	0.077604857	-0.601454703	L1	Raw	SY
27	1.522878787	-1.861642243	L1	Raw	SY
28	0.084675557	-0.637772082	L1	Raw	SY
29	0.221848751	-1.305290804	L1	Raw	SY
30	0.619788758	-1.789939443	L1	Raw	SY
31	0.380211242	-1.992791629	L1	Raw	SY
32	0.380211242	-1.98103734	L1	Raw	SY
33	0.328304081	-0.848625448	L1	Raw	SY
34	0.050452612	-0.641735856	L1	Raw	SY
35	0.22184875	-1.991008077	L1	Raw	SY
36	0.43820319	-1.083931675	L1	Raw	SY
37	0.171874774	-0.722939308	L1	Raw	SY
38	0.064457989	-0.729063042	L1	Raw	SY
39	0.054357662	-0.721342048	L1	Raw	SY
40	0.062147905	-0.878252943	L1	Raw	SY
41	0.120573931	-0.845643522	L1	Raw	SY
42	0.152767831	-0.629693164	L1	Raw	SY
43	0.093421685	-0.55448916	L1	Raw	SY
44	0.186391216	-0.714696976	L1	Raw	SY
45	0.026933403	0.747451898	L1	Raw	SY
46	0.05897786	-0.699272965	L1	Raw	SY
47	0.017728767	-0.722619386	L1	Raw	SY
48	0.017728768	-0.781068437	L1	Raw	SY
49	0.124938736	-1.078092334	L1	Raw	SY
50	0.22184875	0.430269865	L1	Raw	SY
51	0.163856802	-0.746616028	L1	Raw	SY
52	0.003792988	-0.880087347	L1	Raw	SY
53	0.098596596	0.30972517	L1	Raw	SY
54	0.032792512	-0.879628019	L1	Raw	SY
55	0.008600171	-0.885637512	L1	Raw	SY
56	0.131672119	-0.928148793	L1	Raw	SY
57	0.079181247	-0.820890699	L1	Raw	SY
58	0.318758763	-0.95188664	L1	Raw	SY
59	2.69102E-10	-0.427384362	L1	Raw	SY
60	0.134698574	-0.889847184	L1	Raw	SY
61	0.060997458	-0.731014931	L1	Raw	SY
62	0.012234457	-0.832266696	L1	Raw	SY
63	0.221848749	-0.751032044	L1	Raw	SY
64	0.031756596	-0.642001399	L1	Raw	SY
65	0.273001273	-1.562598857	L1	Raw	SY
66	0.275475892	-1.249137791	L1	Raw	SY
67	0.065200603	0.826508528	L1	Raw	SY
68	0.556302501	-1.792561323	L1	Raw	SY
69	0.079181246	-1.803980767	L1	Raw	SY
70	0.397940009	-1.658790435	L1	Raw	SY
71	0.079181246	-1.638035213	L1	Raw	SY
72	0.158362492	-1.402200817	L1	Raw	SY
73	0.079181246	-0.743249387	L1	Raw	SY
74	0.002015291	-0.463174	L1	Raw	SY
75	0.109144469	-0.957342672	L1	Raw	SY
76	0.151267674	-1.001213114	L1	Raw	SY
77	0.037324323	-0.88797118	L1	Raw	SY
78	0.100370545	-0.835572474	L1	Raw	SY
79	0.041091196	0.249241011	L1	Raw	SY
80	0.055517328	-0.62943504	L1	Raw	SY
81	0.447158033	-1.374076528	L1	Raw	SY
82	0.142667505	-0.775976148	L1	Raw	SY
83	0.367976788	-1.403732721	L1	Raw	SY
84	0.221848748	-1.141189397	L1	Raw	SY
85	0.176091259	-1.165323076	L1	Raw	SY
86	0.031756597	-0.747970026	L1	Raw	SY
87	0.4436975	-1.167099334	L1	Raw	SY
88	0.096910013	-1.007946496	L1	Raw	SY
89	0.007968929	-1.186202276	L1	Raw	SY
90	0.221848749	-0.953516264	L1	Raw	SY
