SampleID	Copy	Site	Gene	Soil	Treatment	Time
2	3.21E+10	HL	16S	Upland	CK	Day7
3	2.27E+10	HL	16S	Upland	CK	Day7
4	1.83E+10	HL	16S	Upland	CK	Day7
5	1.34E+10	HL	16S	Upland	CK	Day7
6	8.00E+09	HL	16S	Upland	CK	Day7
7	7.13E+09	HL	16S	Upland	CK	Day7
8	7.96E+09	HL	16S	Upland	CK	Day7
9	7.10E+09	HL	16S	Upland	CK	Day7
10	1.05E+10	HL	16S	Upland	CK	Day7
11	8.23E+09	HL	16S	Upland	CK	Day7
12	9.28E+09	HL	16S	Upland	CK	Day7
13	1.60E+10	HL	16S	Upland	CK	Day30
15	2.08E+10	HL	16S	Upland	CK	Day30
16	1.15E+10	HL	16S	Upland	CK	Day30
17	7.30E+09	HL	16S	Upland	CK	Day30
18	1.19E+10	HL	16S	Upland	CK	Day30
19	8.15E+09	HL	16S	Upland	CK	Day30
20	7.64E+09	HL	16S	Upland	CK	Day30
21	8.97E+09	HL	16S	Upland	CK	Day30
22	1.31E+10	HL	16S	Upland	CK	Day30
23	8.77E+09	HL	16S	Upland	CK	Day30
24	1.06E+10	HL	16S	Upland	CK	Day30
25	1.51E+10	HL	16S	Upland	CK	Day60
26	9.11E+09	HL	16S	Upland	CK	Day60
27	1.30E+10	HL	16S	Upland	CK	Day60
28	1.00E+10	HL	16S	Upland	CK	Day60
30	9.43E+09	HL	16S	Upland	CK	Day60
31	1.02E+10	HL	16S	Upland	CK	Day60
32	1.05E+10	HL	16S	Upland	CK	Day60
33	1.06E+10	HL	16S	Upland	CK	Day60
34	8.94E+09	HL	16S	Upland	CK	Day60
35	1.09E+10	HL	16S	Upland	CK	Day60
36	1.01E+10	HL	16S	Upland	CK	Day60
37	2.84E+10	HL	16S	Paddy	CK	Day7
38	2.92E+10	HL	16S	Paddy	CK	Day7
39	2.32E+10	HL	16S	Paddy	CK	Day7
40	2.44E+10	HL	16S	Paddy	CK	Day7
41	2.00E+10	HL	16S	Paddy	CK	Day7
42	1.78E+10	HL	16S	Paddy	CK	Day7
43	2.06E+10	HL	16S	Paddy	CK	Day7
44	2.00E+10	HL	16S	Paddy	CK	Day7
45	3.28E+10	HL	16S	Paddy	CK	Day7
46	3.78E+10	HL	16S	Paddy	CK	Day7
49	2.41E+10	HL	16S	Paddy	CK	Day30
50	2.17E+10	HL	16S	Paddy	CK	Day30
51	2.69E+10	HL	16S	Paddy	CK	Day30
52	2.16E+10	HL	16S	Paddy	CK	Day30
53	1.89E+10	HL	16S	Paddy	CK	Day30
54	1.66E+10	HL	16S	Paddy	CK	Day30
55	1.68E+10	HL	16S	Paddy	CK	Day30
56	1.66E+10	HL	16S	Paddy	CK	Day30
57	2.04E+10	HL	16S	Paddy	CK	Day30
58	1.57E+10	HL	16S	Paddy	CK	Day30
59	1.72E+10	HL	16S	Paddy	CK	Day30
60	1.53E+10	HL	16S	Paddy	CK	Day30
62	2.14E+10	HL	16S	Paddy	CK	Day60
63	3.52E+10	HL	16S	Paddy	CK	Day60
64	2.72E+10	HL	16S	Paddy	CK	Day60
65	2.16E+10	HL	16S	Paddy	CK	Day60
66	1.77E+10	HL	16S	Paddy	CK	Day60
67	1.89E+10	HL	16S	Paddy	CK	Day60
68	1.64E+10	HL	16S	Paddy	CK	Day60
69	3.05E+10	HL	16S	Paddy	CK	Day60
70	1.87E+10	HL	16S	Paddy	CK	Day60
71	2.29E+10	HL	16S	Paddy	CK	Day60
72	1.80E+10	HL	16S	Paddy	CK	Day60
73	1.37E+10	HL	16S	Upland	Straw	Day7
74	1.16E+10	HL	16S	Upland	Straw	Day7
75	1.44E+10	HL	16S	Upland	Straw	Day7
77	1.40E+10	HL	16S	Upland	Straw	Day7
78	1.42E+10	HL	16S	Upland	Straw	Day7
79	9.45E+09	HL	16S	Upland	Straw	Day7
80	1.40E+10	HL	16S	Upland	Straw	Day7
81	1.27E+10	HL	16S	Upland	Straw	Day7
82	1.44E+10	HL	16S	Upland	Straw	Day7
83	1.35E+10	HL	16S	Upland	Straw	Day7
84	1.45E+10	HL	16S	Upland	Straw	Day7
85	1.29E+10	HL	16S	Upland	Straw	Day30
86	1.30E+10	HL	16S	Upland	Straw	Day30
87	1.31E+10	HL	16S	Upland	Straw	Day30
88	1.37E+10	HL	16S	Upland	Straw	Day30
89	1.33E+10	HL	16S	Upland	Straw	Day30
90	1.34E+10	HL	16S	Upland	Straw	Day30
91	1.34E+10	HL	16S	Upland	Straw	Day30
92	1.30E+10	HL	16S	Upland	Straw	Day30
93	1.18E+10	HL	16S	Upland	Straw	Day30
94	1.15E+10	HL	16S	Upland	Straw	Day30
95	1.12E+10	HL	16S	Upland	Straw	Day30
96	1.21E+10	HL	16S	Upland	Straw	Day30
97	8.84E+09	HL	16S	Upland	Straw	Day60
98	1.41E+10	HL	16S	Upland	Straw	Day60
99	1.71E+10	HL	16S	Upland	Straw	Day60
100	1.12E+10	HL	16S	Upland	Straw	Day60
101	6.15E+09	HL	16S	Upland	Straw	Day60
102	1.01E+10	HL	16S	Upland	Straw	Day60
103	7.36E+09	HL	16S	Upland	Straw	Day60
104	8.59E+09	HL	16S	Upland	Straw	Day60
105	9.45E+09	HL	16S	Upland	Straw	Day60
106	9.49E+09	HL	16S	Upland	Straw	Day60
107	1.01E+10	HL	16S	Upland	Straw	Day60
108	1.02E+10	HL	16S	Upland	Straw	Day60
109	2.47E+10	HL	16S	Paddy	Straw	Day7
111	2.13E+10	HL	16S	Paddy	Straw	Day7
112	3.51E+10	HL	16S	Paddy	Straw	Day7
113	1.74E+10	HL	16S	Paddy	Straw	Day7
114	2.17E+10	HL	16S	Paddy	Straw	Day7
115	1.90E+10	HL	16S	Paddy	Straw	Day7
116	1.73E+10	HL	16S	Paddy	Straw	Day7
117	1.75E+10	HL	16S	Paddy	Straw	Day7
118	1.72E+10	HL	16S	Paddy	Straw	Day7
119	1.98E+10	HL	16S	Paddy	Straw	Day7
120	1.91E+10	HL	16S	Paddy	Straw	Day7
121	1.74E+10	HL	16S	Paddy	Straw	Day30
122	1.96E+10	HL	16S	Paddy	Straw	Day30
123	1.68E+10	HL	16S	Paddy	Straw	Day30
124	1.73E+10	HL	16S	Paddy	Straw	Day30
125	1.23E+10	HL	16S	Paddy	Straw	Day30
127	1.66E+10	HL	16S	Paddy	Straw	Day30
128	1.81E+10	HL	16S	Paddy	Straw	Day30
129	1.95E+10	HL	16S	Paddy	Straw	Day30
130	1.82E+10	HL	16S	Paddy	Straw	Day30
131	1.81E+10	HL	16S	Paddy	Straw	Day30
132	1.87E+10	HL	16S	Paddy	Straw	Day30
133	2.46E+10	HL	16S	Paddy	Straw	Day60
134	1.93E+10	HL	16S	Paddy	Straw	Day60
135	2.50E+10	HL	16S	Paddy	Straw	Day60
136	1.90E+10	HL	16S	Paddy	Straw	Day60
137	1.47E+10	HL	16S	Paddy	Straw	Day60
138	1.30E+10	HL	16S	Paddy	Straw	Day60
139	1.53E+10	HL	16S	Paddy	Straw	Day60
140	1.47E+10	HL	16S	Paddy	Straw	Day60
141	1.44E+10	HL	16S	Paddy	Straw	Day60
142	1.55E+10	HL	16S	Paddy	Straw	Day60
143	1.67E+10	HL	16S	Paddy	Straw	Day60
144	1.59E+10	HL	16S	Paddy	Straw	Day60
145	6.38E+09	SY	16S	Upland	CK	Day7
146	6.47E+09	SY	16S	Upland	CK	Day7
147	6.30E+09	SY	16S	Upland	CK	Day7
148	6.53E+09	SY	16S	Upland	CK	Day7
149	5.60E+09	SY	16S	Upland	CK	Day7
150	5.66E+09	SY	16S	Upland	CK	Day7
151	6.84E+09	SY	16S	Upland	CK	Day7
152	6.12E+09	SY	16S	Upland	CK	Day7
