	CK_RA	Straw_RA	CK_AA	Straw_AA
Bryobacter	1	0	0	0
Ilumatobacter	1	0	1	1
Intrasporangium	0	0	0	1
Kineosporia	0	0	0	1
Micromonospora	0	0	0	1
Pseudarthrobacter	0	0	0	1
Cryobacterium	0	0	1	2
Anaerolinea	0	0	0	1
Leptolinea	0	0	0	1
Geothermobacter	1	0	1	0
Desulfuromonas	0	0	1	0
Trichococcus	2	0	2	2
Youngiibacter	1	1	1	1
Nitrospira	0	0	1	0
Arenimonas	0	0	0	1
Caenimonas	0	0	0	1
Mesorhizobium	0	0	0	1
Thiobacillus	0	0	0	1
Methylocystis	1	1	1	2
Cellvibrio	0	1	0	1
Massilia	0	1	0	2
Alternaria	0	3	1	2
Acremonium	2	0	0	0
Chaetomium	2	0	1	0
Chloridium	3	0	0	0
Clonostachys	1	0	0	0
Exophiala	1	0	0	0
Emericellopsis	0	0	1	0
Gibberella	0	0	0	1
Hypocrea	2	0	0	0
Leptosphaeria	1	0	0	0
Myrmecridium	0	0	0	1
Purpureocillium	0	0	0	1
Paraphoma	1	1	4	2
Penicillium	1	0	0	1
Sarocladium	0	0	0	1
Tetracladium	0	0	1	0
Trichoderma	2	1	1	0
Pseudogymnoascus	0	1	2	2
Scutellinia	0	0	1	0
Coprinellus	0	0	0	1
Cryptococcus	0	0	0	1
Glaciozyma	1	0	0	0
Mrakiella	1	0	1	1
Piriformospora	0	1	0	4
Mortierella	3	2	2	1
