Sample ID	SPSS ID	Treatment	Method	Group	Degree	BC
1	1	CK_RA	RA	CK	10	2.946643198
2	1	CK_RA	RA	CK	3	2.553443967
3	1	CK_RA	RA	CK	1	-2
4	1	CK_RA	RA	CK	1	-2
5	1	CK_RA	RA	CK	1	-2
6	1	CK_RA	RA	CK	5	1.539912085
7	1	CK_RA	RA	CK	1	-2
8	1	CK_RA	RA	CK	2	-2
9	1	CK_RA	RA	CK	1	-2
10	1	CK_RA	RA	CK	2	2.413299764
11	1	CK_RA	RA	CK	6	1.334925686
12	1	CK_RA	RA	CK	3	2.413299764
13	1	CK_RA	RA	CK	1	-2
14	1	CK_RA	RA	CK	4	2.713490543
15	1	CK_RA	RA	CK	4	1.293091842
16	1	CK_RA	RA	CK	1	-2
17	1	CK_RA	RA	CK	3	1.278198484
18	1	CK_RA	RA	CK	2	1.819543936
19	1	CK_RA	RA	CK	19	2.201051428
20	1	CK_RA	RA	CK	20	3.356924365
21	1	CK_RA	RA	CK	6	2.596996344
22	1	CK_RA	RA	CK	4	3.000679985
23	1	CK_RA	RA	CK	1	-2
24	1	CK_RA	RA	CK	3	1.531478917
25	1	CK_RA	RA	CK	3	3.010299957
26	1	CK_RA	RA	CK	1	-2
27	1	CK_RA	RA	CK	1	-2
28	1	CK_RA	RA	CK	1	-2
29	1	CK_RA	RA	CK	1	-2
30	1	CK_RA	RA	CK	1	-2
31	1	CK_RA	RA	CK	4	2.469545823
32	1	CK_RA	RA	CK	4	2.333895176
33	1	CK_RA	RA	CK	1	-2
34	1	CK_RA	RA	CK	1	-2
35	1	CK_RA	RA	CK	8	1.27740082
36	1	CK_RA	RA	CK	5	2.399530137
37	1	CK_RA	RA	CK	3	2.420895869
38	1	CK_RA	RA	CK	12	2.749247249
39	1	CK_RA	RA	CK	4	2.887054378
40	1	CK_RA	RA	CK	13	4.095756351
41	1	CK_RA	RA	CK	1	-2
42	1	CK_RA	RA	CK	5	2.034726689
43	1	CK_RA	RA	CK	3	2.178034224
44	1	CK_RA	RA	CK	4	0.830763588
45	1	CK_RA	RA	CK	3	2.40654018
46	1	CK_RA	RA	CK	1	-2
47	1	CK_RA	RA	CK	7	2.22138262
48	1	CK_RA	RA	CK	1	-2
49	1	CK_RA	RA	CK	1	-2
50	1	CK_RA	RA	CK	1	-2
51	1	CK_RA	RA	CK	2	-2
52	1	CK_RA	RA	CK	1	-2
53	1	CK_RA	RA	CK	2	4.111632112
54	1	CK_RA	RA	CK	2	2.413299764
55	1	CK_RA	RA	CK	1	-2
56	1	CK_RA	RA	CK	2	-2
57	1	CK_RA	RA	CK	2	1.531478917
58	1	CK_RA	RA	CK	11	2.42332407
59	1	CK_RA	RA	CK	8	1.258187244
60	1	CK_RA	RA	CK	2	0
61	1	CK_RA	RA	CK	1	-2
62	1	CK_RA	RA	CK	1	-2
63	1	CK_RA	RA	CK	9	2.732857693
64	1	CK_RA	RA	CK	1	-2
65	1	CK_RA	RA	CK	1	-2
66	1	CK_RA	RA	CK	5	4.141041941
67	1	CK_RA	RA	CK	1	-2
68	1	CK_RA	RA	CK	1	-2
69	1	CK_RA	RA	CK	1	-2
70	1	CK_RA	RA	CK	1	-2
71	1	CK_RA	RA	CK	23	3.247745158
72	1	CK_RA	RA	CK	3	3.10754913
73	1	CK_RA	RA	CK	1	-2
74	1	CK_RA	RA	CK	1	-2
75	1	CK_RA	RA	CK	11	1.015674657
76	1	CK_RA	RA	CK	1	-2
77	1	CK_RA	RA	CK	3	3.182984967
78	1	CK_RA	RA	CK	10	2.739986125
79	1	CK_RA	RA	CK	5	2.775660474
80	1	CK_RA	RA	CK	14	2.566727188
81	1	CK_RA	RA	CK	3	4.123851641
82	1	CK_RA	RA	CK	3	0.477121255
83	1	CK_RA	RA	CK	18	2.84300535
84	1	CK_RA	RA	CK	1	-2
85	1	CK_RA	RA	CK	2	-2
86	1	CK_RA	RA	CK	3	2.888179494
87	1	CK_RA	RA	CK	1	-2
88	1	CK_RA	RA	CK	4	2.120813027
89	1	CK_RA	RA	CK	1	-2
90	1	CK_RA	RA	CK	1	-2
91	1	CK_RA	RA	CK	4	2.578177898
92	1	CK_RA	RA	CK	1	-2
93	1	CK_RA	RA	CK	8	2.929767312
94	1	CK_RA	RA	CK	15	2.764323961
95	1	CK_RA	RA	CK	2	-2
96	1	CK_RA	RA	CK	4	0.504826722
97	1	CK_RA	RA	CK	1	-2
98	1	CK_RA	RA	CK	1	-2
99	1	CK_RA	RA	CK	1	-2
100	1	CK_RA	RA	CK	4	2.442897661
101	1	CK_RA	RA	CK	1	-2
102	1	CK_RA	RA	CK	2	2.413299764
103	1	CK_RA	RA	CK	3	-2
104	1	CK_RA	RA	CK	1	-2
105	1	CK_RA	RA	CK	1	-2
106	1	CK_RA	RA	CK	7	0.744992131
107	1	CK_RA	RA	CK	1	-2
108	1	CK_RA	RA	CK	4	2.968651698
109	1	CK_RA	RA	CK	2	0
110	1	CK_RA	RA	CK	5	1.191370554
111	1	CK_RA	RA	CK	1	-2
112	1	CK_RA	RA	CK	1	-2
113	1	CK_RA	RA	CK	1	-2
114	1	CK_RA	RA	CK	1	-2
115	1	CK_RA	RA	CK	15	3.255557439
116	1	CK_RA	RA	CK	1	-2
117	1	CK_RA	RA	CK	8	2.08880752
118	1	CK_RA	RA	CK	1	-2
119	1	CK_RA	RA	CK	1	-2
120	1	CK_RA	RA	CK	1	-2
121	1	CK_RA	RA	CK	1	-2
122	1	CK_RA	RA	CK	1	-2
123	1	CK_RA	RA	CK	3	2.898289753
124	1	CK_RA	RA	CK	6	2.76136829
125	1	CK_RA	RA	CK	1	-2
126	1	CK_RA	RA	CK	3	2.413299764
127	1	CK_RA	RA	CK	5	1.909900402
128	1	CK_RA	RA	CK	1	-2
129	1	CK_RA	RA	CK	14	3.536440185
130	1	CK_RA	RA	CK	1	-2
131	1	CK_RA	RA	CK	8	2.451051776
132	1	CK_RA	RA	CK	2	2.413299764
133	1	CK_RA	RA	CK	1	-2
134	1	CK_RA	RA	CK	1	-2
135	1	CK_RA	RA	CK	1	-2
136	1	CK_RA	RA	CK	19	2.874618066
137	1	CK_RA	RA	CK	12	3.007176296
138	1	CK_RA	RA	CK	2	-2
139	1	CK_RA	RA	CK	11	3.077281517
140	1	CK_RA	RA	CK	1	-2
141	1	CK_RA	RA	CK	1	-2
142	1	CK_RA	RA	CK	1	-2
143	1	CK_RA	RA	CK	6	2.637045652
144	1	CK_RA	RA	CK	4	2.713490543
145	1	CK_RA	RA	CK	17	2.917928529
146	1	CK_RA	RA	CK	1	-2
147	1	CK_RA	RA	CK	3	1.715149583
148	1	CK_RA	RA	CK	2	1.531478917
