Sample ID	Genus
Bryobacter	 Acidobacteriota
Ilumatobacter	 Actinobacteriota
Intrasporangium	 Actinobacteriota
Kineosporia	 Actinobacteriota
Micromonospora	 Actinobacteriota
Pseudarthrobacter	 Actinobacteriota
Cryobacterium	 Actinobacteriota
Anaerolinea	 Chloroflexi
Leptolinea	 Chloroflexi
Geothermobacter	 Desulfobacterota
Desulfuromonas	 Desulfobacterota
Trichococcus	 Firmicutes
Youngiibacter	 Firmicutes
Nitrospira	 Nitrospirota
Arenimonas	 Proteobacteria
Caenimonas	 Proteobacteria
Mesorhizobium	 Proteobacteria
Thiobacillus	 Proteobacteria
Methylocystis	 Proteobacteria
Cellvibrio	 Proteobacteria
Massilia	 Proteobacteria
Alternaria	 Ascomycota
Acremonium	 Ascomycota
Chaetomium	 Ascomycota
Chloridium	 Ascomycota
Clonostachys	 Ascomycota
Exophiala	 Ascomycota
Emericellopsis	 Ascomycota
Gibberella	 Ascomycota
Hypocrea	 Ascomycota
Leptosphaeria	 Ascomycota
Myrmecridium	 Ascomycota
Purpureocillium	 Ascomycota
Paraphoma	 Ascomycota
Penicillium	 Ascomycota
Sarocladium	 Ascomycota
Tetracladium	 Ascomycota
Trichoderma	 Ascomycota
Pseudogymnoascus	 Ascomycota
Scutellinia	 Ascomycota
Coprinellus	 Basidiomycota
Cryptococcus	 Basidiomycota
Glaciozyma	 Basidiomycota
Mrakiella	 Basidiomycota
Piriformospora	 Basidiomycota
Mortierella	 Zygomycota
