	HLPD30CK1	HLPD30CK2	HLPD30CK3	HLPD30CK4	HLPD30CK5	HLPD30CK6	HLPD30L11	HLPD30L12	HLPD30L13	HLPD30L14	HLPD30L21	HLPD30L22	HLPD30L23	HLPD30L24	HLPD30L25	HLPD30L26	HLPD30L31	HLPD30L32	HLPD30L33	HLPD30L34	HLPD30L35	HLPD30L36	HLPD30L41	HLPD30L42	HLPD30L43	HLPD30L44	HLPD30L45	HLPD30L46	HLPD30L51	HLPD30L52	HLPD30L53	HLPD30L54	HLPD30L55	HLPD30L56	HLPD30L61	HLPD30L62	HLPD30L63	HLPD30L64	HLPD30L65	HLPD30L66	HLPD30L71	HLPD30L72	HLPD30L73	HLPD30L74	HLPD30L75	HLPD30L76	HLPD30L81	HLPD30L82	HLPD30L83	HLPD30L84	HLPD30L85	HLPD30L86	HLPD30L91	HLPD30L92	HLPD30L93	HLPD30L94	HLPD30L95	HLPD30L96	HLPD7CK1	HLPD7CK2	HLPD7CK3	HLPD7CK4	HLPD7CK5	HLPD7CK6	HLPD7L11	HLPD7L12	HLPD7L13	HLPD7L14	HLPD7L15	HLPD7L16	HLPD7L21	HLPD7L22	HLPD7L23	HLPD7L24	HLPD7L25	HLPD7L26	HLPD7L31	HLPD7L32	HLPD7L33	HLPD7L34	HLPD7L35	HLPD7L36	HLPD7L41	HLPD7L42	HLPD7L43	HLPD7L44	HLPD7L45	HLPD7L46	HLPD7L51	HLPD7L52	HLPD7L53	HLPD7L54	HLPD7L55	HLPD7L56	HLPD7L61	HLPD7L62	HLPD7L63	HLPD7L64	HLPD7L65	HLPD7L66	HLPD7L71	HLPD7L72	HLPD7L73	HLPD7L74	HLPD7L75	HLPD7L76	HLPD7L81	HLPD7L82	HLPD7L83	HLPD7L84	HLPD7L85	HLPD7L86	HLPD7L91	HLPD7L92	HLPD7L93	HLPD7L94	HLPD7L95	HLPD7L96	HLPDay0CK1	HLPDay0CK2	HLPDay0CK3	HLPDay0CK4	HLPDay0CK5	HLPDay0CK6	HLPDay0L11	HLPDay0L12	HLPDay0L13	HLPDay0L14	HLPDay0L15	HLPDay0L16	HLPDay0L21	HLPDay0L22	HLPDay0L23	HLPDay0L24	HLPDay0L25	HLPDay0L31	HLPDay0L32	HLPDay0L33	HLPDay0L34	HLPDay0L35	HLPDay0L36	HLPDay0L41	HLPDay0L42	HLPDay0L43	HLPDay0L44	HLPDay0L45	HLPDay0L46	HLPDay0L51	HLPDay0L52	HLPDay0L53	HLPDay0L54	HLPDay0L55	HLPDay0L56	HLPDay0L61	HLPDay0L62	HLPDay0L63	HLPDay0L64	HLPDay0L65	HLPDay0L66	HLPDay0L71	HLPDay0L72	HLPDay0L73	HLPDay0L74	HLPDay0L75	HLPDay0L76	HLPDay0L81	HLPDay0L82	HLPDay0L83	HLPDay0L84	HLPDay0L85	HLPDay0L86	HLPDay0L91	HLPDay0L92	HLPDay0L93	HLPDay0L94	HLPDay0L95	HLPDay0L96	SYUD30CK1	SYUD30CK2	SYUD30CK3	SYUD30CK4	SYUD30CK5	SYUD30CK6	SYUD30L11	SYUD30L12	SYUD30L13	SYUD30L14	SYUD30L15	SYUD30L16	SYUD30L21	SYUD30L22	SYUD30L23	SYUD30L24	SYUD30L25	SYUD30L26	SYUD30L31	SYUD30L32	SYUD30L33	SYUD30L34	SYUD30L35	SYUD30L36	SYUD30L41	SYUD30L42	SYUD30L43	SYUD30L44	SYUD30L45	SYUD30L46	SYUD30L51	SYUD30L52	SYUD30L53	SYUD30L54	SYUD30L55	SYUD30L56	SYUD30L61	SYUD30L62	SYUD30L63	SYUD30L64	SYUD30L65	SYUD30L66	SYUD30L71	SYUD30L72	SYUD30L73	SYUD30L74	SYUD30L75	SYUD30L76	SYUD30L81	SYUD30L82	SYUD30L83	SYUD30L84	SYUD30L85	SYUD30L86	SYUD30L91	SYUD30L92	SYUD30L93	SYUD30L94	SYUD30L95	SYUD30L96	SYUD7CK1	SYUD7CK2	SYUD7CK3	SYUD7CK4	SYUD7CK5	SYUD7CK6	SYUD7L11	SYUD7L12	SYUD7L13	SYUD7L14	SYUD7L15	SYUD7L16	SYUD7L21	SYUD7L22	SYUD7L23	SYUD7L24	SYUD7L25	SYUD7L26	SYUD7L31	SYUD7L32	SYUD7L33	SYUD7L34	SYUD7L35	SYUD7L36	SYUD7L41	SYUD7L42	SYUD7L43	SYUD7L44	SYUD7L45	SYUD7L46	SYUD7L51	SYUD7L52	SYUD7L53	SYUD7L54	SYUD7L55	SYUD7L56	SYUD7L61	SYUD7L62	SYUD7L63	SYUD7L64	SYUD7L65	SYUD7L66	SYUD7L71	SYUD7L72	SYUD7L73	SYUD7L74	SYUD7L75	SYUD7L76	SYUD7L81	SYUD7L82	SYUD7L83	SYUD7L84	SYUD7L85	SYUD7L86	SYUD7L91	SYUD7L92	SYUD7L93	SYUD7L94	SYUD7L95	SYUD7L96	SYUDay0CK1	SYUDay0CK2	SYUDay0CK3	SYUDay0CK4	SYUDay0CK5	SYUDay0CK6	SYUDay0L11	SYUDay0L12	SYUDay0L13	SYUDay0L14	SYUDay0L15	SYUDay0L21	SYUDay0L22	SYUDay0L23	SYUDay0L24	SYUDay0L25	SYUDay0L26	SYUDay0L31	SYUDay0L32	SYUDay0L33	SYUDay0L34	SYUDay0L35	SYUDay0L41	SYUDay0L42	SYUDay0L43	SYUDay0L44	SYUDay0L45	SYUDay0L46	SYUDay0L51	SYUDay0L52	SYUDay0L53	SYUDay0L54	SYUDay0L55	SYUDay0L56	SYUDay0L61	SYUDay0L62	SYUDay0L63	SYUDay0L64	SYUDay0L65	SYUDay0L66	SYUDay0L71	SYUDay0L72	SYUDay0L73	SYUDay0L74	SYUDay0L75	SYUDay0L76	SYUDay0L81	SYUDay0L82	SYUDay0L83	SYUDay0L84	SYUDay0L85	SYUDay0L86	SYUDay0L91	SYUDay0L92	SYUDay0L93	SYUDay0L94	SYUDay0L95	SYUDay0L96
OTU_10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	27	22	29	38	38	44	38	24	32	38	38	31	39	31	27	32	24	32	43	38	32	29	36	28	35	23	37	42	39	31	29	40	28	34	30	28	38	32	38	24	37	36	31	34	37	26	44	19	33	38	39	31	28	29	21	28	16	35	34	22	20	13	30	30	34	31	25	23	26	17	16	16	18	22	28	34	27	33	25	26	27	18	23	22	18	12	20	28	32	27	25	30	13	13	29	16	16	31	25	24	17	21	22	20	18	28	16	25	21	30	31	22	23	31	21	18	20	16	19	19	331	303	339	271	341	295	314	321	312	346	309	270	322	302	336	339	342	319	337	324	313	345	307	300	322	306	320	289	286	301	319	307	287	287	323	239	330	262	278	257	194	257	236	265	276	249	234	251	267	265	276	212	201	188	152	149	176	163
OTU_100	3	2	0	4	1	1	5	1	2	6	1	7	3	1	1	3	2	6	7	1	1	4	1	0	2	4	2	1	2	1	5	0	2	3	2	0	0	1	0	1	3	6	2	2	2	3	4	4	3	5	4	3	6	3	3	1	6	3	1	3	2	3	4	1	1	0	2	4	1	3	3	0	4	0	0	1	0	4	1	1	3	1	2	0	0	1	1	0	3	1	0	0	3	4	0	1	3	1	4	0	1	0	3	0	0	1	1	1	1	1	1	1	2	2	2	0	3	2	0	0	1	3	3	1	1	2	3	2	4	3	3	1	0	10	1	4	4	2	3	2	2	3	3	4	2	5	1	3	0	4	5	1	6	3	2	2	6	3	4	5	5	4	4	4	5	2	3	3	1	4	1	2	5	1	2	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU_1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
OTU_10034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
