Otu	HL1CKP1	HL1CKP2	HL1CKP3	HL1CKU1	HL1CKU2	HL1CKU3	HL1SP1	HL1SP2	HL1SP3	HL1SU1	HL1SU2	HL1SU3	HL2CKP1	HL2CKP2	HL2CKP3	HL2CKU1	HL2CKU2	HL2CKU3	HL2SP1	HL2SP2	HL2SP3	HL2SU1	HL2SU2	HL2SU3	HL3CKP1	HL3CKP2	HL3CKP3	HL3CKU1	HL3CKU2	HL3CKU3	HL3SP1	HL3SP2	HL3SP3	HL3SU1	HL3SU2	HL3SU3	SY1CKP1	SY1CKP2	SY1CKP3	SY1CKU1	SY1CKU2	SY1CKU3	SY1SP1	SY1SP2	SY1SP3	SY1SU1	SY1SU2	SY1SU3	SY2CKP1	SY2CKP2	SY2CKP3	SY2CKU1	SY2CKU2	SY2CKU3	SY2SP1	SY2SP2	SY2SP3	SY2SU1	SY2SU2	SY2SU3	SY3CKP1	SY3CKP2	SY3CKP3	SY3CKU1	SY3CKU2	SY3CKU3	SY3SP1	SY3SP2	SY3SP3	SY3SU1	SY3SU2	SY3SU3
Otu1	   38	  149	   71	  139	    9	   44	  176	  236	  171	  717	   45	  161	   79	   57	    1	  120	   16	   99	  112	   49	   24	  244	   31	  257	   63	    2	   31	   10	   37	   15	  113	    2	   78	   58	   52	   31	11950	 7600	12576	   52	   89	  105	11313	 6166	17044	 1545	  328	  899	 6367	 6907	12737	  161	   40	  112	 5192	 6453	 7933	 1992	  121	  203	 1345	 3106	 1949	   48	   24	 1083	 1379	 2292	 3405	  105	   65	 1227
Otu10	   27	  117	  105	  175	   12	   37	   42	  198	   84	  194	    7	   75	  102	  137	    9	  126	   53	  162	   76	  159	   19	   85	   55	  318	   54	   11	   45	   27	  105	   66	   51	    4	   51	   54	   64	  103	  594	  430	  762	  645	  842	 2488	 1125	  827	 1402	 2918	  894	12341	  850	  777	 1084	  590	 1038	 2921	 1628	 2122	 1464	 4937	  941	 5935	  594	  433	  372	   29	  250	  626	 1283	 1761	  799	  336	  427	 5430
Otu100	  3	 17	 12	  9	  0	  0	160	635	243	115	  0	  1	  7	 17	  0	  8	  0	  0	149	183	 46	 14	  5	  0	  4	  2	  5	  2	  0	  0	 48	  7	 83	 14	  0	  0	  2	  1	  0	  1	  5	  0	  1	 56	  0	  0	 41	  1	  1	  0	  1	  0	  6	  1	  1	  0	  0	  0	 18	  6	  2	  0	  0	  0	  1	  0	  1	  0	  0	  2	 10	  0
Otu1000	 47	257	205	477	 19	 92	 56	274	127	592	 20	 55	142	390	 27	440	 56	207	136	304	 31	200	 38	112	 96	 38	 60	 95	155	 62	 54	 14	 97	119	 86	 56	 15	 46	 19	 10	 36	 15	  7	 28	  8	  4	 42	  8	  3	 33	 16	 18	 46	 15	  6	 28	  4	  5	 27	  3	  6	 21	  3	  0	 18	  8	  0	 25	  0	  0	 19	  5
Otu1001	 0	 0	 1	10	 0	 0	 0	 4	 0	 4	 0	 0	 0	 0	 0	 3	 0	 3	 1	 0	 0	 3	 0	 0	 1	 0	 0	 0	 0	 0	 1	 0	 0	 3	 0	 0	 1	 0	 0	 0	 1	 0	 2	 1	 2	 0	 2	 0	16	30	10	 0	 1	 1	41	26	14	 1	 3	13	50	66	39	 0	 8	 0	47	60	62	 0	 4	15
Otu1002	 46	 81	148	 34	  0	  0	 61	 79	119	 49	  0	  0	166	101	 20	 35	  3	  0	110	102	 13	 12	  3	  0	 53	 13	 62	  6	 10	  1	 76	  6	 88	 11	  0	  0	  6	  5	  2	  0	  4	  2	  6	  0	  0	  0	  6	  0	  2	  1	  1	  1	  2	  1	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  1	  0	  1	  0	  0	  0	  3	  0
Otu1003	21	55	55	 5	 0	 0	14	31	26	 4	 0	 0	35	47	 2	 1	 0	 0	19	32	 3	 1	 0	 1	26	 5	18	 0	 0	 0	12	 1	 9	 1	 0	 0	16	12	16	 2	 4	 0	 5	 5	 5	 1	 0	 0	14	12	18	 0	 3	 0	 0	 4	10	 0	 0	 1	11	 8	 4	 0	 0	 2	 5	 8	 7	 0	 1	 0
Otu1004	24	87	47	 5	 0	 0	22	55	48	 5	 0	 0	89	20	 3	 9	 1	 0	43	34	 5	 1	 0	 0	31	 2	14	 0	 0	 0	22	 1	17	 0	 0	 0	 1	 2	 0	 0	 3	 0	 0	 1	 0	 0	 3	 1	 2	 1	 0	 0	 6	 0	 0	 0	 0	 0	 3	 0	 0	 1	 0	 0	 0	 1	 1	 0	 0	 0	 1	 0
Otu1005	 2	 6	14	 0	 0	 0	 2	 7	12	 5	 0	 0	 5	 7	 2	 1	 0	 1	 7	 7	 2	 0	 0	 0	 5	 2	 4	 0	 0	 0	 5	 1	 9	 0	 1	 0	14	23	19	 0	 0	 1	 6	15	21	 0	 5	 0	31	41	46	 1	 1	 0	32	42	16	 0	 1	 0	22	17	 4	 0	 0	 0	 7	16	 6	 0	 0	 0
Otu1006	 0	 1	 1	 0	 0	 1	 0	 1	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	37	 3	21	 1	 1	 0	17	 2	10	 0	 3	 1	80	37	66	 0	 1	 5	33	10	25	 3	 0	 0	52	 8	24	 0	 0	 4	44	 0	24	 0	 0	 0
