# Constructed from biom file																																																																								
#OTU ID	HL1CKP1	HL1CKP2	HL1CKP3	HL1CKU1	HL1CKU2	HL1CKU3	HL1SP1	HL1SP2	HL1SP3	HL1SU1	HL1SU2	HL1SU3	HL2CKP1	HL2CKP2	HL2CKP3	HL2CKU1	HL2CKU2	HL2CKU3	HL2SP1	HL2SP2	HL2SP3	HL2SU1	HL2SU2	HL2SU3	HL3CKP1	HL3CKP2	HL3CKP3	HL3CKU1	HL3CKU2	HL3CKU3	HL3SP1	HL3SP2	HL3SP3	HL3SU1	HL3SU2	HL3SU3	SY1CKP1	SY1CKP2	SY1CKP3	SY1CKU1	SY1CKU2	SY1CKU3	SY1SP1	SY1SP2	SY1SP3	SY1SU1	SY1SU2	SY1SU3	SY2CKP1	SY2CKP2	SY2CKP3	SY2CKU1	SY2CKU2	SY2CKU3	SY2SP1	SY2SP2	SY2SP3	SY2SU1	SY2SU2	SY2SU3	SY3CKP1	SY3CKP2	SY3CKP3	SY3CKU1	SY3CKU2	SY3CKU3	SY3SP1	SY3SP2	SY3SP3	SY3SU1	SY3SU2	SY3SU3
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87E-05	3.93E-05	3.67E-05	0	0	0	1.28E-05	1.09E-05	2.71E-05	0	0	0	6.12E-05	1.21E-05	0.000260042	0	0	0	6.20E-05	4.20E-05	0.000310698	0	0	0	3.61E-05	0	3.82E-05	0	0	0	0.000100487	0	1.73E-05	0	0	0
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium	0.000152986	0.000183298	0.000129925	0.000868201	0.00035524	0.000214592	1.37E-05	9.67E-05	8.30E-05	0.000408927	0.000494968	2.01E-05	5.49E-05	0.000157421	0	0.000524976	0.000222797	4.65E-05	5.50E-05	0.00022948	5.13E-05	0.000368304	0.000517847	0.000118777	5.27E-05	7.56E-05	0.000106065	0.000281152	0.000290558	0	4.55E-05	0.000135759	5.65E-05	0.000275085	0.00115343	0.000399455	5.74E-06	0	0	0	0.000125949	0	0	1.09E-05	0	0	2.84E-05	0	0	0	1.56E-05	9.91E-06	1.62E-05	0	0	0	2.74E-05	9.19E-06	2.33E-05	2.52E-05	0	0	0	0	0	0	0	1.36E-05	1.73E-05	0	2.15E-05	0
Bacteria;Acidobacteriota;Acidobacteriae;AKIW659;AKIW659_fa;AKIW659_ge	5.10E-05	0.000161302	7.09E-05	2.48E-05	0	0	8.23E-05	0.000158838	0.000105663	4.16E-05	8.25E-05	0	7.13E-05	0.00017054	0.000118582	0.000124682	4.46E-05	9.30E-06	1.57E-05	0.000163914	0.000153862	0.000122768	0	0	6.32E-05	0.000151172	0.000159098	5.62E-05	2.91E-05	2.80E-05	3.04E-05	0	4.24E-05	4.85E-05	2.35E-05	2.35E-05	0.000379034	0.000714645	0.00061246	1.95E-05	0.000251897	0.000139441	0.000223805	0.000359352	0.000399794	0	9.45E-05	3.45E-05	0.000665951	0.000878256	0.001086973	2.97E-05	0.000429233	0.000172292	0.000232542	0.000566866	0.000676225	9.19E-06	0.000186157	5.04E-05	0.001167999	0.000848049	0.001260649	0	0.000454737	0.000175775	0.000531144	0.00070542	0.000708191	0	0.000236962	0.000111942
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae_or;Acidobacteriae_fa;Paludibaculum	0.003042717	0.000711196	0.001683114	5.58E-05	0	0	0.003442553	0.000545573	0.001743436	2.27E-05	8.25E-05	2.01E-05	0.00274371	0.000432909	0.001304399	1.31E-05	4.46E-05	4.65E-05	0.003017848	0.000352416	0.001743769	4.46E-05	7.40E-05	0	0.00309666	0.000755858	0.00178543	0.000112461	0	2.80E-05	0.00327844	0.000271518	0.001426594	1.62E-05	0	0	0.000396262	0.001225105	0.00067983	3.91E-05	6.30E-05	9.30E-05	0.0001151	0.00079493	0.000454003	1.84E-05	4.73E-05	6.41E-05	0.000224249	0.001162932	0.000504481	2.97E-05	7.29E-05	7.38E-05	0.000155028	0.001273698	0.000520876	4.60E-05	4.65E-05	3.78E-05	4.82E-05	0.000785693	0.000171907	0	0.000162406	6.39E-05	0.000114842	0.000922472	0.000138184	0.000109242	8.62E-05	4.98E-05
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae_unclassified;Acidobacteriae_unclassified;Acidobacteriae_unclassified	0.000356967	0.000337268	0.000549227	5.58E-05	0	0	0.000301738	0.000283145	0.00070945	5.68E-05	8.25E-05	0	0.000587154	0.000327961	0.000355745	7.22E-05	0	2.79E-05	0.000550128	0.000360611	0.000615448	3.35E-05	0	8.48E-06	0.000610906	0.000377929	0.000565681	5.62E-05	1.45E-05	0	0.000394627	0.000135759	0.000720359	3.24E-05	0	0	0.000241203	0.000479048	0.000287856	9.77E-06	0.000251897	0	5.75E-05	0.000283126	0.000203285	2.76E-05	7.56E-05	0	0.00025143	0.000478498	0.000442071	2.97E-05	0.00012958	2.95E-05	0.000139525	0.000265937	0.00030156	0	6.98E-05	1.26E-05	0.000180618	0.000448967	0.000152806	0	0.000292331	1.60E-05	7.18E-05	0.000393407	0.00029364	0	0.000172336	0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidipila	5.10E-05	3.67E-05	3.54E-05	0.000520921	0.001776199	0.000187768	4.11E-05	9.67E-05	5.28E-05	0.000549022	0.00123742	0.000642325	4.39E-05	7.87E-05	0	0.000380607	0.001069423	0.000483429	5.50E-05	5.74E-05	5.13E-05	0.000546875	0.00122064	0.001399871	4.21E-05	7.56E-05	0	0.000365497	0.000755452	0.000644456	9.11E-05	0.000135759	0.000112998	0.000469263	0.001836072	0.001315851	5.74E-05	7.85E-06	1.84E-05	0.002267574	0.000545777	0.001540494	5.12E-05	4.36E-05	0.000115195	0.002209029	0.000463252	0.001502996	6.80E-06	6.06E-06	5.72E-05	0.002011873	0.000890861	0.001102672	3.10E-05	4.90E-05	5.48E-05	0.002481686	0.000418853	0.001271368	1.20E-05	9.98E-05	0	0.000843882	0.000844512	0.000559284	7.18E-05	8.14E-05	0	0.003386498	0.000517007	0.003358251
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidobacteriaceae_(Subgroup_1)_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95E-05	0	0.000106241	0	0	0	0	0	9.86E-06	0	0	0	9.91E-06	0	4.92E-05	0	0	0	0	0	1.26E-05	0	0	0	0	0	4.79E-05	0	0	0	0	0	1.24E-05
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Edaphobacter	0	7.33E-06	0	0.000514719	0	0.000241416	0	5.52E-05	1.51E-05	0.000382422	8.25E-05	0.000501817	0	1.31E-05	0	0.000341234	4.46E-05	0.000167341	7.86E-06	8.20E-06	0	0.000513393	0.000110967	0.000517528	0	7.56E-05	3.54E-05	0.000506073	0.000232447	0.000112079	0	0	2.82E-05	0.000631078	9.42E-05	0.000516942	1.72E-05	7.85E-06	1.84E-05	0.000175932	0.000104957	0.000126161	0.0001151	3.27E-05	5.42E-05	0.00025772	5.67E-05	0.000226681	3.40E-05	6.06E-06	5.20E-06	4.96E-05	0.000121481	0.000113221	0.000162779	5.60E-05	4.57E-05	0.000266551	5.82E-05	0.000163641	3.61E-05	3.74E-05	0	0.00021097	9.74E-05	6.39E-05	0.000100487	4.07E-05	3.45E-05	0	2.15E-05	0.000111942
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Granulicella	0.000101991	0.000168634	8.86E-05	0.001482143	0.00473653	0.005230687	9.60E-05	0.000234803	5.28E-05	0.001874247	0.00338228	0.006925069	4.94E-05	0.000157421	5.93E-05	0.001758669	0.003653863	0.004127737	9.43E-05	0.00017211	0.000153862	0.001796875	0.004808581	0.00836529	5.27E-05	0.000151172	5.30E-05	0.001152722	0.002585969	0.004146936	0.000121424	0	0.000183621	0.00260522	0.006944118	0.008247568	4.59E-05	6.28E-05	4.90E-05	0.001241301	0.000241401	0.001175291	0.000121494	9.80E-05	4.07E-05	0.002475954	0.000311986	0.002266814	6.80E-05	2.42E-05	3.64E-05	0.001050535	0.000267258	0.001142053	0.000162779	6.30E-05	0.00010052	0.002527643	0.000244331	0.002278392	7.22E-05	0.000112242	5.73E-05	0.001054852	0.000292331	0.000623202	2.87E-05	0.000189921	3.45E-05	0.001966354	0.000236962	0.001803505
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Occallatibacter	5.10E-05	0.000271281	5.91E-05	0.001792215	0.003197158	0.007027897	0.000150869	0.000269333	0.000166041	0.003085882	0.005114668	0.014653044	0.000109748	0.000249251	5.93E-05	0.001542116	0.003965778	0.006070748	0.000180757	0.000221284	0.000153862	0.002075893	0.003883854	0.013710252	6.32E-05	0.000226757	8.84E-05	0.001602564	0.004372903	0.007117039	0.000197314	0.000950312	0.000254244	0.00249195	0.005037428	0.010385826	0.000482407	0.000212037	0.000404224	0.001876613	0.00168981	0.00322707	0.000760938	0.000272236	0.001558519	0.001316213	0.001021045	0.003843728	0.001073676	0.000254391	0.000535685	0.002031694	0.001943698	0.003726439	0.002418436	0.000433897	0.002485585	0.002922875	0.000965689	0.003751164	0.00303439	0.000785693	0.001489858	0.001265823	0.00181895	0.002620646	0.004378347	0.000718985	0.003540954	0.003058772	0.000969389	0.005261259
