# Constructed from biom file																																			
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.41E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium	0	4.33E-05	2.93E-05	3.45E-05	7.27E-05	4.23E-05	1.31E-05	5.31E-05	0	5.88E-05	0.000613567	0.000116735	0	2.71E-05	0	0.001469823	0.000312461	3.49E-06	0	0	0	1.32E-05	0	0	3.82E-06	0	0	1.10E-05	4.27E-06	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;AKIW659;AKIW659_fa;AKIW659_ge	0	7.87E-06	0	5.75E-06	0	0	0	0	0	0	0	0	0	2.71E-05	0	0	0	1.05E-05	0	1.92E-05	0	0	0	2.95E-05	9.55E-05	9.13E-05	6.39E-06	0	0	8.29E-05	6.90E-05	6.65E-05	0	0	5.74E-06
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae_or;Acidobacteriae_fa;Paludibaculum	0.000135911	0.000110218	0.000161019	0	0	0	0.000733479	0.00024777	0	0	0	2.50E-05	0.001098025	0.000596448	0.000227531	0	0	1.74E-05	2.16E-05	3.20E-05	0	1.32E-05	4.83E-05	8.85E-05	0.000278771	0.000107436	0	1.66E-05	3.41E-05	0	0.000299146	0	0	1.92E-05	3.45E-05
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae_unclassified;Acidobacteriae_unclassified;Acidobacteriae_unclassified	1.70E-05	3.94E-06	0	5.75E-06	0	1.41E-05	0	0	0	0	0	0	0.000106261	0	0	0	0	3.49E-06	0	3.20E-06	0	0	6.03E-06	0	2.67E-05	5.37E-05	6.39E-06	0	0	0	2.30E-05	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidipila	1.70E-05	3.15E-05	1.46E-05	0.000143744	0.000509165	0.000493764	2.62E-05	1.77E-05	0	0.000505793	0.001749801	0.001184024	0	2.71E-05	0.000227531	0.002725296	0.002374703	2.44E-05	1.08E-05	6.41E-06	0.004021994	0.000311645	0.001098251	2.21E-05	1.15E-05	1.61E-05	0.00283697	0.000237547	0.001326633	6.63E-05	0	6.65E-05	0.000319285	0.000326183	0.003590406
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Acidobacteriaceae_(Subgroup_1)_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Edaphobacter	0	1.57E-05	1.10E-05	0.000454232	0	0.000959314	6.55E-06	0	0	0.000841028	0.000136348	0.000842158	0	2.71E-05	0.000910125	0.000183728	0.000749906	6.62E-05	0	0.00011211	0.00037335	6.15E-05	0.000156893	0.000143803	2.29E-05	5.91E-05	0.000210856	0.000104963	0.000217551	6.63E-05	4.60E-05	0	0	9.59E-05	0.00016085
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Granulicella	8.49E-05	0.000114154	6.59E-05	0.00125345	0.002618563	0.008506856	3.93E-05	3.54E-05	6.44E-05	0.003034759	0.005772071	0.01276578	1.77E-05	0.000108445	0.002502844	0.011911688	0.014373203	0.000129	5.40E-05	5.77E-05	0.004089875	0.000223858	0.002534426	0.000114305	4.96E-05	6.45E-05	0.00314367	0.000198876	0.002503967	3.32E-05	0	0	0.001117497	0.000441306	0.002814879
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Occallatibacter	3.40E-05	0.000106282	7.68E-05	0.002564397	0.003273203	0.01523616	7.86E-05	3.54E-05	6.44E-05	0.004628595	0.005590274	0.017410156	0.000106261	0.000189779	0.003640501	0.012585357	0.017810274	0.000697297	0.000237795	0.002181343	0.001620677	0.000329203	0.002938727	0.004428401	0.000423884	0.004281332	0.003092553	0.000232022	0.0038306	0.005221629	0.000690338	0.006115801	0.003192848	0.000613991	0.006049117
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);Terriglobus	0	7.87E-06	0	5.17E-05	0	7.05E-05	0	0	0	2.94E-05	0.000431769	0.000241808	1.77E-05	0	0	0.000581805	0.000124984	0	0	0	0.000110308	4.39E-06	5.43E-05	0	0	0	3.83E-05	4.97E-05	0.000251676	0	0	0	0	0	0.000137872
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae_(Subgroup_1);uncultured	0	7.48E-05	5.49E-05	4.02E-05	7.27E-05	5.64E-05	8.51E-05	0.000123885	0	6.47E-05	4.54E-05	4.17E-05	0.000212521	5.42E-05	0.000227531	0.000275592	6.25E-05	0.000132486	0.000226987	0.000749536	6.79E-05	2.63E-05	9.65E-05	0.002109113	0.000828674	0.003094162	0.000159739	3.87E-05	0.00011944	0.001044326	0.001265619	0.004719803	0	7.67E-05	0.000120638
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriales_unclassified;Acidobacteriales_unclassified	0	3.94E-06	3.66E-06	0	0	1.41E-05	1.31E-05	1.77E-05	0	0	0	5.84E-05	5.31E-05	5.42E-05	0	0	6.25E-05	0	0	0	8.49E-06	0	0	3.69E-06	0	0	2.56E-05	0	0	0	0	0	0	0	5.74E-06
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Candidatus_Koribacter	6.80E-05	0.000429063	0.000106126	0.00025299	0.000145476	0.000324474	4.58E-05	0.000584029	0	0.000388167	0.000636291	0.000983907	8.86E-05	0.000515115	0.000910125	0.000979882	0.001812273	0.000212675	0.00038912	0.000387581	0.000738214	0.000109734	0.001019805	0.001758824	0.000989063	0.001955339	0.001501549	0.000248595	0.002943334	0.001193515	0.001426698	0.003057901	0.001596424	0.000537242	0.004337211
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;uncultured;uncultured_ge	0.000169889	0.000499917	0.000128083	0.000442732	0.001309281	0.001467186	0.000157174	0.001274246	0.000257699	0.002070223	0.004726736	0.005745018	0.000301071	0.001003118	0.004323094	0.005419971	0.010998625	0.000285892	0.00019456	0.000486878	0.001357635	0.000504778	0.00208185	0.002256604	0.000943238	0.003271432	0.004983866	0.000933614	0.005238282	0.00248649	0.002071013	0.007245895	0.003831418	0.002360029	0.01026569
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter	0.000730522	0.001999669	0.001994438	0.001471941	0.001527495	0.002031488	0.00338579	0.004548351	0.000773096	0.004475681	0.010748779	0.004294172	0.003364916	0.002467128	0.00705347	0.015586245	0.009061367	0.000519486	0.000621511	0.000361956	0.017097716	0.008216905	0.009624784	0.003543458	0.003177222	0.001949967	0.015053832	0.012369004	0.011167608	0.001475317	0.003359643	0.00119657	0.00335249	0.013104877	0.011023984
Bacteria;Acidobacteriota;Acidobacteriae;Elev-16S-1166;Elev-16S-1166_fa;Elev-16S-1166_ge	0	1.97E-05	3.66E-06	0	0	0	3.93E-05	3.54E-05	0	0	0	0	0.000106261	2.71E-05	0	3.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.28E-05	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;GOUTB8;GOUTB8_fa;GOUTB8_ge	0	3.94E-06	1.83E-05	1.15E-05	0	0	6.55E-06	0	6.44E-05	0	2.27E-05	0	0.000141681	2.71E-05	0	0	0	0	0	0	8.49E-06	0	0	0	1.15E-05	1.61E-05	0	0	0	0	2.30E-05	0	0	1.92E-05	0
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f_fa;PAUC26f_ge	3.40E-05	0	3.66E-06	0	0	0	7.86E-05	0	0	5.88E-06	0	0	0.000123971	0	0	0	0	0	0	0	0	4.39E-06	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus_Solibacter	0.000679556	0.001645397	0.001247896	0.000764719	0.000654641	0.001100389	0.00241655	0.002583888	0.000579822	0.001270364	0.001999773	0.00185108	0.002869034	0.001735123	0.002047782	0.002755918	0.003187102	0.000442783	0.000470186	0.000554144	0.001450972	0.000478442	0.001762029	0.004207165	0.003906608	0.003491676	0.002051053	0.000872846	0.002657532	0.003099824	0.003773845	0.002193711	0.00063857	0.001362293	0.002096797
Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_12;Subgroup_12_fa;Subgroup_12_ge	0	3.94E-06	7.32E-06	0	0	0	5.24E-05	8.85E-05	0	5.88E-06	0	8.34E-06	0.000141681	0	0	0	0	0	0	0	0	0	0	1.47E-05	1.91E-05	1.07E-05	0	0	0	1.66E-05	0.000138068	0	0	0	0
Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_13;Subgroup_13_fa;Subgroup_13_ge	0	3.94E-06	0	0	7.27E-05	0	6.55E-06	0	0	5.88E-06	0	0	7.08E-05	2.71E-05	0	0	0	3.49E-06	0	3.20E-06	0	8.78E-06	1.81E-05	1.84E-05	2.67E-05	1.61E-05	6.39E-06	1.10E-05	0.000349788	1.66E-05	0.000115056	0	0	1.92E-05	0.000402126
Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_15;Subgroup_15_fa;Subgroup_15_ge	0	3.94E-06	3.66E-06	5.75E-06	0	0	6.55E-06	0	0	0	0	0	0	0	0	0	0	3.49E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92E-05	1.15E-05
Bacteria;Acidobacteriota;Acidobacteriae;Subgroup_2;Subgroup_2_fa;Subgroup_2_ge	6.80E-05	3.94E-06	2.93E-05	2.30E-05	0	4.23E-05	6.55E-06	1.77E-05	0	0	4.54E-05	9.17E-05	1.77E-05	0	0	0	0.000437445	1.74E-05	1.62E-05	1.92E-05	2.55E-05	4.39E-06	0.000126721	4.79E-05	3.82E-05	5.37E-05	8.95E-05	3.87E-05	0.000712372	6.63E-05	2.30E-05	0	0	0.000115123	0.001930202
Bacteria;Acidobacteriota;Aminicenantia;Aminicenantales;Aminicenantales_fa;Aminicenantales_ge	0	3.94E-06	0	5.75E-06	0	0	1.31E-05	0	0	0	0	0	0.000123971	2.71E-05	0	0	0	1.39E-05	5.40E-06	6.41E-06	0	0	0	1.47E-05	2.29E-05	7.52E-05	6.39E-06	0	4.27E-06	4.97E-05	0	6.65E-05	0	0	0
Bacteria;Acidobacteriota;Blastocatellia;11-24;11-24_fa;11-24_ge	1.70E-05	0.000141709	6.59E-05	2.87E-05	0	0	0.000170272	0.000584029	6.44E-05	3.53E-05	0	0	0.000301071	2.71E-05	0	6.12E-05	0	1.74E-05	3.78E-05	9.61E-06	0	1.76E-05	4.22E-05	4.06E-05	0.000198576	3.22E-05	2.56E-05	2.76E-05	5.97E-05	4.97E-05	0.00018409	0	0	1.92E-05	4.02E-05
