Otu	HL1CKP1	HL1CKP2	HL1CKP3	HL1CKU1	HL1CKU2	HL1CKU3	HL1SP1	HL1SP2	HL1SP3	HL1SU1	HL1SU2	HL1SU3	HL2CKP1	HL2CKP2	HL2CKP3	HL2CKU1	HL2CKU2	HL2CKU3	HL2SP1	HL2SP2	HL2SP3	HL2SU1	HL2SU2	HL2SU3	HL3CKP1	HL3CKP2	HL3CKP3	HL3CKU1	HL3CKU2	HL3CKU3	HL3SP1	HL3SP2	HL3SP3	HL3SU1	HL3SU2	HL3SU3	SY1CKP1	SY1CKP2	SY1CKP3	SY1CKU1	SY1CKU2	SY1CKU3	SY1SP1	SY1SP2	SY1SP3	SY1SU1	SY1SU2	SY1SU3	SY2CKP1	SY2CKP2	SY2CKP3	SY2CKU1	SY2CKU2	SY2CKU3	SY2SP1	SY2SP2	SY2SP3	SY2SU1	SY2SU2	SY2SU3	SY3CKP1	SY3CKP2	SY3CKP3	SY3CKU1	SY3CKU2	SY3CKU3	SY3SP1	SY3SP2	SY3SP3	SY3SU1	SY3SU2	SY3SU3
Otu1	 1099	 4392	 1070	 9048	 1631	14251	 6849	24678	 3647	 8942	 1789	13225	 1381	 2546	  438	 4921	 4182	27551	 4597	16974	  752	 6761	 4674	42874	 1176	  535	  537	 2607	10495	12288	 4643	 6007	 1411	 4775	 6308	12934	  233	  233	  228	  194	  429	 1570	  805	  583	  865	  656	  520	  791	  129	  383	  158	  258	  587	  455	  490	 1117	  478	  496	  853	 1182	  142	  306	   99	   11	  358	  598	  137	  436	  290	   34	  538	  818
Otu10	  175	  142	  116	  743	  151	  111	  158	   65	  296	  499	  122	   98	  212	  224	   34	  698	  371	  286	   95	  281	   42	  428	  151	  161	  177	   42	   96	  271	  989	  317	  346	   56	   71	  228	  350	  103	 1502	 2686	 7963	   99	   90	  833	  851	  686	 8862	   40	   50	  135	  604	 2754	 4831	   94	  119	  978	32992	 1326	11404	   68	   59	  169	  864	 1815	 1880	    8	   38	  678	 3204	  794	14484	    2	   30	  109
Otu100	  53	 175	  42	 974	  39	 588	  42	  67	  72	 663	  53	 279	  64	 309	  38	 424	 156	1253	  44	  67	  25	 286	  70	 747	  48	 139	  45	 267	 313	 597	  56	  12	  41	 139	 164	 202	  16	  20	  14	  18	  48	 118	  37	  17	  21	  21	  27	  50	   9	  28	   6	  23	  63	  39	  24	  36	  16	  13	  28	  32	  10	  42	   8	   0	  36	  55	  10	  16	  14	   0	  10	  31
Otu1000	  0	 37	  1	 21	  0	 21	  0	  0	  0	  6	  4	  1	  1	  0	  0	  7	 13	287	  0	  2	  6	  5	  6	 24	  0	  0	  1	  6	 25	 15	  0	  3	  6	  3	  9	 13	  0	  0	  0	  0	  0	  2	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  1	  0
Otu1001	  0	  0	  4	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  5	271	  0	  0	  0	  0	  2	 33	  2	  0	  0	  0	  2	161	  2	  1	  0	  0	  0	 47	  0	  0	  0	  0	  0	 14	  0	  0	  0	  0	  0	  3	  0	  0
Otu1002	  0	  0	  1	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 25	149	  9	  0	  0	  1	  0	  5	  1	  0	  0	  2	 20	471	  7	  0	  0	  2	 30	166	  1	  0	  0	  3	 10	 90	  3	  2	  1	  7	  7	 11	  0	  0	  0	  9
Otu1003	  9	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	217	263	 40	  0	  0	  0	  2	 26	  0	  0	  0	  0	 14	111	 16	  0	  0	  0	 14	 33	  2	  0	  0	  0	 14	 33	  1	  0	  0	  1	  7	 13	  0	  0	  0	  0
Otu1004	0	5	0	1	1	1	0	0	1	0	0	0	1	4	0	0	4	0	0	3	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1005	  1	  3	  0	  0	  0	  0	  2	  3	 11	  5	  0	  1	  5	  0	  0	  0	  0	  0	  2	  7	  1	  4	  2	  6	  0	  0	  0	  0	  0	  1	  4	  2	  4	  0	  1	  0	  4	  8	 33	  1	  0	  0	  6	  0	  4	  1	  2	  0	  1	 66	  3	  0	  2	  1	  3	  4	  2	  3	  6	  3	  0	 94	  2	  0	  1	  0	  1	240	  3	  0	  1	  4
Otu1006	 3	11	15	22	 0	 3	 5	12	15	11	 1	 4	13	11	 4	20	 3	 5	13	 7	 4	 8	 1	15	11	 2	 5	13	 2	 2	 3	 2	 4	 5	 3	 2	 7	 5	 8	 5	 6	 5	 8	 4	 1	 3	 3	 6	 5	 4	 1	 2	13	 6	 4	 6	 2	 3	 4	 4	 5	 6	 1	 0	 4	 3	 4	 3	 2	 2	 0	 2
Otu1007	  0	 57	  2	  0	  0	195	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	 20	  0	  1	  0	  0	  0	  0	  1	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0
Otu1008	  2	367	 19	 87	  0	 13	  1	  6	  1	  9	  1	  4	  1	 90	  1	 22	  8	 56	  1	  3	  0	  4	  6	 18	  0	  5	 15	 11	 66	  8	  0	 12	  5	  1	  1	  4	  0	  0	  1	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  1	  1	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
Otu1009	  0	  0	  0	  0	  0	  1	  0	  0	  1	  0	  0	  0	  0	  2	  0	  0	  0	  3	  2	  1	  1	  0	  0	  2	  0	  0	  0	  0	  1	  0	  0	  0	  1	  0	  0	  0	  0	  0	  1	  0	221	 14	  0	  0	  0	  0	111	  7	  1	  4	  0	  2	238	 10	  0	  0	  0	  0	 52	  2	  0	  0	  1	  0	122	  4	  0	  0	  1	  0	 39	  1
Otu101	   0	   0	   0	   0	   0	   0	  10	   1	   1	   5	   0	   3	   0	   0	   0	   0	   0	   0	   2	   0	   0	   3	   0	   3	   0	   0	   0	   0	   0	   0	   2	   1	   2	   0	   2	   0	   0	   0	  10	   0	   0	   0	5306	   0	   1	   2	   2	   0	   0	   0	   0	   0	   0	   0	   5	   2	   3	   1	   2	   0	   0	   0	   0	   0	   0	   0	   1	   0	   1	   0	   1	   1
Otu1010	11	37	46	30	 3	12	 4	11	16	 6	 2	 1	35	36	16	16	 5	16	 8	 8	 2	 4	 8	 6	17	 2	16	10	16	19	11	 4	 9	 2	 5	 3	37	28	53	10	 6	19	15	 2	 2	 1	 2	 2	 6	26	24	 9	10	16	 3	 8	10	 0	 5	 3	19	18	10	 0	 3	24	 2	 7	 3	 0	 0	 2
Otu1011	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	56	22	48	 0	 0	 0	 2	25	 3	 0	 0	 0	14	14	40	 0	 0	 1	 8	17	12	 0	 0	 0	24	23	27	 0	 0	 1	 0	14	15	 0	 0	 0
Otu1012	  2	 12	  0	211	  0	  0	  0	  2	  0	 54	  0	  0	  0	 40	  0	188	  0	  1	  0	  6	  0	 32	  0	  0	  0	 21	  0	 48	  2	  0	  0	  2	  0	 15	  3	  0	  0	  1	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  1	  0	  3	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0
Otu1013	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  2	  0	  0	  0	  0	  0	  0	229	  1	  0	  0	  0	  0	 87	  0	  4	  1	  1	  1	198	  0	  0	  1	  0	  0	106	  0	  0	  0	  0	  0	 81	  0	  0	  0	  0	  0	 38	  0
Otu1014	   8	   0	   0	   1	   0	   0	   6	   0	   1	   3	   0	   0	   1	   0	   0	   0	   0	   0	   9	   1	   0	   0	   2	   0	   2	   0	   0	   0	   0	   0	   1	   0	   0	   0	   0	   0	   3	 590	   0	   0	   0	   0	 205	 558	   0	   0	   0	   0	   0	 114	   0	   0	   0	   1	 122	 351	   1	   0	   0	   0	   0	  33	   2	   0	   0	   4	  83	1083	   0	   0	   0	   3
Otu1015	  0	  0	  0	  0	  0	  0	  4	  7	 15	  5	  1	  2	  0	  0	  0	  0	  0	  0	 11	 10	  4	  2	  2	  9	  0	  0	  0	  0	  0	  0	  8	  0	  8	  2	  6	  4	  0	  0	  0	  0	  0	  0	  7	  9	  2	  0	  8	  9	  0	  0	  0	  0	  0	  0	 12	 20	  4	  3	  6	  1	  0	  0	  0	  0	  0	  0	  1	  7	  1	  0	173	  8
Otu1016	 2	10	 5	 9	 1	 7	 1	 1	 7	 4	 1	 0	 6	 5	 2	 6	 2	20	 5	 1	 1	 1	 4	 4	 8	 2	 6	 2	 8	 6	 4	 0	 1	 1	 2	 6	 4	 5	 2	 3	 3	 5	 3	 4	 1	 0	 1	 0	 0	 0	 0	 2	 3	 7	 1	 4	 2	 1	 5	 1	 4	 2	 0	 3	 1	 2	 2	 1	 0	 0	 1	 2
