# Constructed from biom file																																				
#OTU ID	HL1HFP1	HL1HFP2	HL1HFP3	HL1HFU1	HL1HFU2	HL1HFU3	HL2HFP1	HL2HFP2	HL2HFP3	HL2HFU1	HL2HFU2	HL2HFU3	HL3HFP1	HL3HFP2	HL3HFP3	HL3HFU1	HL3HFU2	HL3HFU3	SY1HFP1	SY1HFP2	SY1HFP3	SY1HFU1	SY1HFU2	SY1HFU3	SY2HFP1	SY2HFP2	SY2HFP3	SY2HFU1	SY2HFU2	SY2HFU3	SY3HFP1	SY3HFP2	SY3HFP3	SY3HFU1	SY3HFU2	SY3HFU3
k__Fungi;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified	0.020292657	0.048727072	0.027155574	0.071442771	0.307742675	0.025963269	0.042100067	0.037801015	0.032127891	0.179150073	0.056585861	0.005381223	0.036459628	0.046778826	0.012179569	0.043883842	0.143741013	0.033328565	0.22865185	0.115226262	0.005495062	0.031051828	0.085389086	0.036877519	0.131218902	0.235151649	0.218641649	0.061647286	0.029524411	0.045393996	0.114404395	0.194209083	0.012358804	0.024627721	0.089589084	0.030777584
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;f__Ascomycota_family_Incertae_sedis_unclassified	0	0	4.59E-05	0	0	8.45E-06	0	0	0	0	0	2.37E-05	0	0	0	0	0	0	0.000117281	0	0	0	0	0	0	0	0	0	7.62E-05	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Calcarisporiella	0	0	4.59E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Collembolispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Hansfordia	0	0	0	2.21E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.46E-06	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Hymenula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Ochroconis	0	0	9.18E-06	0	0	4.23E-05	0	3.57E-05	0	0	0	0	0	0	0	0	0	0	3.52E-05	9.15E-05	3.62E-06	0	0.000940462	0.000654839	0	4.72E-05	6.46E-06	2.19E-05	0.000402581	0.00032636	0	0	0	0	0.00027213	0.000480096
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Pseudorobillarda	0	0	0	0	0	8.45E-06	0	0	0	0	0	2.63E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Remersonia	0	0	0	0	0	8.45E-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73E-05	0	0	0	0	0	0	0	0	0	0.001767754	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Scolecobasidium	5.04E-05	0	4.59E-06	0	0	0	0	2.38E-05	0	0	0	0	2.92E-05	0	0	0	0	0	0.000774057	0.000548958	0.000669688	0	0	0	0.001415757	0.000864991	0.000987868	0	1.09E-05	9.99E-06	0.001706195	0.001889668	0.000996678	0	0	2.86E-05
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Setophoma	0	0	0	0	0.000109129	0	0	0	0	0	0	0	2.92E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Staphylotrichum	2.01E-05	5.63E-06	4.59E-06	0.000298184	0	1.69E-05	0	0	0	0.000432879	0	0	2.92E-05	0	0	2.70E-05	0	0	0.000140738	0	0.000159277	4.31E-06	0	0	0.000176235	0	0	0	0	0	0.002447631	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Torula	0	0	0	0	0	2.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	1.17E-05	0	0	0	0	0	0	0.000157271	0	0	0	0	0	0	0	0	0	0
k__Fungi;p__Ascomycota;c__Ascomycota_class_Incertae_sedis;o__Ascomycota_order_Incertae_sedis;f__Ascomycota_family_Incertae_sedis;g__Vermispora	0.00189331	0.002679848	0.003039221	0.001816716	0.001746058	0.001394512	0.003926431	0.025474597	0.002948937	0.001292453	0.001832472	0.000589147	0.041081065	0.004924087	0.00510139	0.001460091	0.001111063	0.000953607	0.003559491	0.001701769	0.000514031	0.000500418	0.001535283	0.000747131	0.001574368	0.001769299	0.000742515	0.000284694	0.000903087	0.000882504	0.001393541	0.000426699	0.000199336	0.000286369	0.001010769	0.000702998
